date,facebook privacy statement,how to change facebook privacy settings
2011-01-01,0,21
2011-02-01,4,14
2011-03-01,6,24
2011-04-01,6,15
2011-05-01,4,13
2011-06-01,4,23
2011-07-01,4,20
2011-08-01,5,32
2011-09-01,3,63
2011-10-01,3,47
2011-11-01,5,41
2011-12-01,2,39
2012-01-01,3,37
2012-02-01,4,52
2012-03-01,4,42
2012-04-01,2,44
2012-05-01,6,51
2012-06-01,37,43
2012-07-01,7,30
2012-08-01,5,81
2012-09-01,12,100
2012-10-01,23,95
2012-11-01,26,65
2012-12-01,8,66
2013-01-01,4,59
2013-02-01,4,49
2013-03-01,5,53
2013-04-01,3,41
2013-05-01,2,40
2013-06-01,3,49
2013-07-01,3,48
2013-08-01,8,49
2013-09-01,4,47
2013-10-01,18,48
2013-11-01,5,35
2013-12-01,2,37
2014-01-01,3,43
2014-02-01,4,27
2014-03-01,3,34
2014-04-01,3,36
2014-05-01,5,35
2014-06-01,2,36
2014-07-01,1,29
2014-08-01,7,45
2014-09-01,5,31
2014-10-01,4,37
2014-11-01,11,27
2014-12-01,9,25
2015-01-01,63,34
2015-02-01,4,32
2015-03-01,3,31
2015-04-01,3,34
2015-05-01,2,32
2015-06-01,4,31
2015-07-01,4,35
2015-08-01,5,39
2015-09-01,40,31
2015-10-01,5,22
2015-11-01,2,28
2015-12-01,2,33
2016-01-01,1,32
2016-02-01,2,25
2016-03-01,2,26
2016-04-01,2,25
2016-05-01,2,27
2016-06-01,6,26
2016-07-01,7,38
2016-08-01,4,34
2016-09-01,4,28
2016-10-01,18,30
2016-11-01,4,25
2016-12-01,2,24
2017-01-01,4,31
