date,limited profile facebook,how to change facebook privacy settings
2011-01-01,94,7
2011-02-01,89,5
2011-03-01,75,8
2011-04-01,87,5
2011-05-01,95,4
2011-06-01,98,8
2011-07-01,100,7
2011-08-01,88,11
2011-09-01,66,21
2011-10-01,50,16
2011-11-01,43,14
2011-12-01,48,13
2012-01-01,47,12
2012-02-01,38,17
2012-03-01,38,14
2012-04-01,40,15
2012-05-01,37,17
2012-06-01,42,14
2012-07-01,40,10
2012-08-01,41,27
2012-09-01,41,33
2012-10-01,36,32
2012-11-01,40,22
2012-12-01,34,22
2013-01-01,33,19
2013-02-01,24,16
2013-03-01,27,18
2013-04-01,26,14
2013-05-01,30,13
2013-06-01,30,16
2013-07-01,27,16
2013-08-01,30,16
2013-09-01,26,16
2013-10-01,28,16
2013-11-01,23,12
2013-12-01,26,12
2014-01-01,29,14
2014-02-01,25,9
2014-03-01,21,11
2014-04-01,25,12
2014-05-01,24,12
2014-06-01,23,12
2014-07-01,29,10
2014-08-01,31,15
2014-09-01,24,10
2014-10-01,18,12
2014-11-01,21,9
2014-12-01,22,8
2015-01-01,22,11
2015-02-01,19,11
2015-03-01,23,10
2015-04-01,20,11
2015-05-01,23,11
2015-06-01,21,10
2015-07-01,24,11
2015-08-01,24,13
2015-09-01,22,10
2015-10-01,24,7
2015-11-01,17,9
2015-12-01,22,11
2016-01-01,22,10
2016-02-01,21,8
2016-03-01,23,9
2016-04-01,23,8
2016-05-01,19,9
2016-06-01,21,9
2016-07-01,23,13
2016-08-01,22,11
2016-09-01,19,9
2016-10-01,17,10
2016-11-01,19,8
2016-12-01,19,8
2017-01-01,20,10
