date,facebook search login,how to change facebook privacy settings
2011-01-01,86,0
2011-02-01,76,0
2011-03-01,63,0
2011-04-01,60,0
2011-05-01,51,0
2011-06-01,55,0
2011-07-01,64,0
2011-08-01,73,1
2011-09-01,100,1
2011-10-01,68,1
2011-11-01,24,1
2011-12-01,52,1
2012-01-01,61,1
2012-02-01,59,1
2012-03-01,45,1
2012-04-01,30,1
2012-05-01,35,1
2012-06-01,44,1
2012-07-01,41,1
2012-08-01,23,2
2012-09-01,27,2
2012-10-01,38,2
2012-11-01,32,1
2012-12-01,26,1
2013-01-01,21,1
2013-02-01,30,1
2013-03-01,37,1
2013-04-01,35,1
2013-05-01,21,1
2013-06-01,22,1
2013-07-01,31,1
2013-08-01,35,1
2013-09-01,30,1
2013-10-01,33,1
2013-11-01,43,1
2013-12-01,39,1
2014-01-01,37,1
2014-02-01,37,1
2014-03-01,37,1
2014-04-01,38,1
2014-05-01,34,1
2014-06-01,30,1
2014-07-01,24,1
2014-08-01,19,1
2014-09-01,23,1
2014-10-01,15,1
2014-11-01,15,1
2014-12-01,18,1
2015-01-01,18,1
2015-02-01,30,1
2015-03-01,43,1
2015-04-01,46,1
2015-05-01,43,1
2015-06-01,46,1
2015-07-01,57,1
2015-08-01,57,1
2015-09-01,61,1
2015-10-01,59,1
2015-11-01,59,1
2015-12-01,62,1
2016-01-01,60,1
2016-02-01,53,1
2016-03-01,54,1
2016-04-01,53,1
2016-05-01,55,1
2016-06-01,40,1
2016-07-01,42,1
2016-08-01,41,1
2016-09-01,50,1
2016-10-01,25,1
2016-11-01,35,1
2016-12-01,47,1
2017-01-01,44,1
