date,instagram login with facebook,how to change facebook privacy settings
2011-01-01,0,11
2011-02-01,0,6
2011-03-01,0,11
2011-04-01,1,7
2011-05-01,0,9
2011-06-01,0,11
2011-07-01,0,10
2011-08-01,0,15
2011-09-01,0,31
2011-10-01,1,28
2011-11-01,1,25
2011-12-01,1,22
2012-01-01,1,20
2012-02-01,1,26
2012-03-01,1,21
2012-04-01,3,26
2012-05-01,2,25
2012-06-01,4,22
2012-07-01,7,21
2012-08-01,6,38
2012-09-01,6,51
2012-10-01,6,46
2012-11-01,7,34
2012-12-01,7,33
2013-01-01,8,28
2013-02-01,7,25
2013-03-01,9,25
2013-04-01,9,21
2013-05-01,10,22
2013-06-01,10,26
2013-07-01,12,26
2013-08-01,12,23
2013-09-01,9,24
2013-10-01,11,24
2013-11-01,11,19
2013-12-01,11,20
2014-01-01,13,21
2014-02-01,15,14
2014-03-01,17,17
2014-04-01,25,20
2014-05-01,25,19
2014-06-01,22,19
2014-07-01,32,16
2014-08-01,40,24
2014-09-01,30,16
2014-10-01,29,19
2014-11-01,25,14
2014-12-01,25,14
2015-01-01,31,17
2015-02-01,31,15
2015-03-01,33,15
2015-04-01,31,17
2015-05-01,29,17
2015-06-01,34,17
2015-07-01,41,18
2015-08-01,46,19
2015-09-01,48,15
2015-10-01,51,12
2015-11-01,67,16
2015-12-01,66,17
2016-01-01,66,17
2016-02-01,72,15
2016-03-01,69,14
2016-04-01,62,13
2016-05-01,61,13
2016-06-01,59,15
2016-07-01,62,18
2016-08-01,66,17
2016-09-01,70,15
2016-10-01,82,14
2016-11-01,87,13
2016-12-01,100,13
2017-01-01,100,15
