date,who can see my posts on facebook,how to change facebook privacy settings
2011-01-01,4,21
2011-02-01,4,14
2011-03-01,3,24
2011-04-01,6,13
2011-05-01,4,18
2011-06-01,5,20
2011-07-01,3,20
2011-08-01,5,24
2011-09-01,7,66
2011-10-01,8,62
2011-11-01,10,50
2011-12-01,4,44
2012-01-01,6,38
2012-02-01,10,55
2012-03-01,5,47
2012-04-01,23,59
2012-05-01,11,46
2012-06-01,6,42
2012-07-01,13,52
2012-08-01,6,75
2012-09-01,9,100
2012-10-01,8,88
2012-11-01,6,72
2012-12-01,5,70
2013-01-01,11,50
2013-02-01,10,53
2013-03-01,6,51
2013-04-01,7,45
2013-05-01,6,43
2013-06-01,9,53
2013-07-01,12,54
2013-08-01,10,44
2013-09-01,12,49
2013-10-01,12,44
2013-11-01,14,41
2013-12-01,12,44
2014-01-01,13,36
2014-02-01,11,28
2014-03-01,15,33
2014-04-01,17,42
2014-05-01,13,38
2014-06-01,13,40
2014-07-01,11,35
2014-08-01,17,49
2014-09-01,15,32
2014-10-01,10,40
2014-11-01,18,30
2014-12-01,8,30
2015-01-01,19,34
2015-02-01,12,28
2015-03-01,12,28
2015-04-01,17,33
2015-05-01,8,35
2015-06-01,17,36
2015-07-01,14,33
2015-08-01,12,37
2015-09-01,14,30
2015-10-01,13,28
2015-11-01,16,35
2015-12-01,13,31
2016-01-01,15,37
2016-02-01,15,31
2016-03-01,14,26
2016-04-01,14,25
2016-05-01,20,27
2016-06-01,18,30
2016-07-01,18,37
2016-08-01,19,36
2016-09-01,20,31
2016-10-01,18,26
2016-11-01,22,29
2016-12-01,20,30
2017-01-01,23,33
