date,internet privacy speech,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,5,14
2011-03-01,2,24
2011-04-01,3,13
2011-05-01,2,18
2011-06-01,10,20
2011-07-01,3,20
2011-08-01,2,24
2011-09-01,4,66
2011-10-01,2,62
2011-11-01,4,50
2011-12-01,3,44
2012-01-01,2,38
2012-02-01,2,55
2012-03-01,3,47
2012-04-01,2,59
2012-05-01,2,46
2012-06-01,3,42
2012-07-01,3,52
2012-08-01,2,75
2012-09-01,3,100
2012-10-01,3,88
2012-11-01,3,72
2012-12-01,1,70
2013-01-01,2,50
2013-02-01,2,53
2013-03-01,2,51
2013-04-01,4,45
2013-05-01,1,43
2013-06-01,5,53
2013-07-01,2,54
2013-08-01,2,44
2013-09-01,4,49
2013-10-01,1,44
2013-11-01,4,41
2013-12-01,3,44
2014-01-01,2,36
2014-02-01,2,28
2014-03-01,3,33
2014-04-01,4,42
2014-05-01,3,38
2014-06-01,2,40
2014-07-01,1,35
2014-08-01,5,49
2014-09-01,2,32
2014-10-01,4,40
2014-11-01,5,30
2014-12-01,3,30
2015-01-01,2,34
2015-02-01,2,28
2015-03-01,3,28
2015-04-01,3,33
2015-05-01,3,35
2015-06-01,2,36
2015-07-01,1,33
2015-08-01,1,37
2015-09-01,1,30
2015-10-01,2,28
2015-11-01,3,35
2015-12-01,1,31
2016-01-01,3,37
2016-02-01,2,31
2016-03-01,3,26
2016-04-01,2,25
2016-05-01,3,27
2016-06-01,2,30
2016-07-01,1,37
2016-08-01,3,36
2016-09-01,2,31
2016-10-01,3,26
2016-11-01,2,29
2016-12-01,2,30
2017-01-01,6,33
