date,facebook photo privacy settings,how to change facebook privacy settings
2011-01-01,19,21
2011-02-01,15,12
2011-03-01,17,22
2011-04-01,12,14
2011-05-01,16,17
2011-06-01,10,22
2011-07-01,8,20
2011-08-01,13,29
2011-09-01,41,60
2011-10-01,39,55
2011-11-01,35,48
2011-12-01,33,42
2012-01-01,25,39
2012-02-01,29,51
2012-03-01,13,41
2012-04-01,21,51
2012-05-01,23,48
2012-06-01,20,44
2012-07-01,23,41
2012-08-01,38,75
2012-09-01,59,100
2012-10-01,67,90
2012-11-01,46,66
2012-12-01,48,64
2013-01-01,48,54
2013-02-01,39,50
2013-03-01,42,49
2013-04-01,32,42
2013-05-01,27,44
2013-06-01,28,50
2013-07-01,32,51
2013-08-01,35,45
2013-09-01,35,47
2013-10-01,33,48
2013-11-01,24,38
2013-12-01,22,39
2014-01-01,22,40
2014-02-01,20,28
2014-03-01,17,33
2014-04-01,22,38
2014-05-01,17,36
2014-06-01,20,37
2014-07-01,20,32
2014-08-01,22,47
2014-09-01,18,32
2014-10-01,14,36
2014-11-01,16,28
2014-12-01,14,27
2015-01-01,20,34
2015-02-01,11,29
2015-03-01,14,29
2015-04-01,15,32
2015-05-01,14,33
2015-06-01,14,34
2015-07-01,16,34
2015-08-01,15,36
2015-09-01,12,29
2015-10-01,12,24
2015-11-01,13,31
2015-12-01,11,32
2016-01-01,13,33
2016-02-01,11,29
2016-03-01,8,27
2016-04-01,13,25
2016-05-01,10,26
2016-06-01,11,30
2016-07-01,9,35
2016-08-01,9,33
2016-09-01,13,28
2016-10-01,9,28
2016-11-01,7,26
2016-12-01,7,25
2017-01-01,10,29
