date,facebook restricted list,how to change facebook privacy settings
2011-01-01,2,10
2011-02-01,2,6
2011-03-01,1,11
2011-04-01,2,7
2011-05-01,2,8
2011-06-01,2,11
2011-07-01,1,10
2011-08-01,1,14
2011-09-01,24,29
2011-10-01,47,27
2011-11-01,58,24
2011-12-01,65,20
2012-01-01,68,19
2012-02-01,75,25
2012-03-01,64,20
2012-04-01,73,25
2012-05-01,77,24
2012-06-01,76,21
2012-07-01,79,20
2012-08-01,87,36
2012-09-01,74,49
2012-10-01,74,44
2012-11-01,76,32
2012-12-01,66,31
2013-01-01,76,26
2013-02-01,77,24
2013-03-01,78,24
2013-04-01,85,20
2013-05-01,79,21
2013-06-01,86,24
2013-07-01,91,25
2013-08-01,81,22
2013-09-01,80,23
2013-10-01,69,23
2013-11-01,66,18
2013-12-01,71,19
2014-01-01,75,20
2014-02-01,80,14
2014-03-01,76,16
2014-04-01,97,19
2014-05-01,92,18
2014-06-01,83,18
2014-07-01,88,15
2014-08-01,100,23
2014-09-01,74,16
2014-10-01,75,18
2014-11-01,82,14
2014-12-01,81,13
2015-01-01,73,16
2015-02-01,74,14
2015-03-01,84,14
2015-04-01,80,16
2015-05-01,73,16
2015-06-01,80,17
2015-07-01,83,17
2015-08-01,86,18
2015-09-01,79,14
2015-10-01,87,12
2015-11-01,68,15
2015-12-01,79,16
2016-01-01,79,16
2016-02-01,78,14
2016-03-01,79,13
2016-04-01,79,12
2016-05-01,79,13
2016-06-01,82,15
2016-07-01,100,17
2016-08-01,89,16
2016-09-01,89,14
2016-10-01,84,13
2016-11-01,82,13
2016-12-01,75,12
2017-01-01,74,14
