date,facebook app download for samsung,how to change facebook privacy settings
2011-01-01,10,21
2011-02-01,17,12
2011-03-01,12,22
2011-04-01,17,14
2011-05-01,23,17
2011-06-01,23,22
2011-07-01,36,20
2011-08-01,34,29
2011-09-01,31,60
2011-10-01,46,55
2011-11-01,39,48
2011-12-01,37,42
2012-01-01,36,39
2012-02-01,33,51
2012-03-01,42,41
2012-04-01,47,51
2012-05-01,48,48
2012-06-01,60,44
2012-07-01,59,41
2012-08-01,74,75
2012-09-01,73,100
2012-10-01,65,90
2012-11-01,66,66
2012-12-01,76,64
2013-01-01,69,54
2013-02-01,70,50
2013-03-01,79,49
2013-04-01,65,42
2013-05-01,74,44
2013-06-01,81,50
2013-07-01,91,51
2013-08-01,66,45
2013-09-01,78,47
2013-10-01,85,48
2013-11-01,78,38
2013-12-01,79,39
2014-01-01,65,40
2014-02-01,57,28
2014-03-01,67,33
2014-04-01,62,38
2014-05-01,74,36
2014-06-01,74,37
2014-07-01,81,32
2014-08-01,79,47
2014-09-01,71,32
2014-10-01,88,36
2014-11-01,58,28
2014-12-01,63,27
2015-01-01,69,34
2015-02-01,57,29
2015-03-01,72,29
2015-04-01,68,32
2015-05-01,58,33
2015-06-01,59,34
2015-07-01,58,34
2015-08-01,66,36
2015-09-01,48,29
2015-10-01,60,24
2015-11-01,56,31
2015-12-01,61,32
2016-01-01,57,33
2016-02-01,56,29
2016-03-01,49,27
2016-04-01,51,25
2016-05-01,57,26
2016-06-01,46,30
2016-07-01,50,35
2016-08-01,51,33
2016-09-01,40,28
2016-10-01,60,28
2016-11-01,53,26
2016-12-01,71,25
2017-01-01,61,29
