date,facebook download mobile,how to change facebook privacy settings
2011-01-01,46,1
2011-02-01,45,0
2011-03-01,46,1
2011-04-01,52,0
2011-05-01,57,0
2011-06-01,66,1
2011-07-01,89,1
2011-08-01,95,1
2011-09-01,98,2
2011-10-01,97,1
2011-11-01,94,1
2011-12-01,100,1
2012-01-01,91,1
2012-02-01,86,1
2012-03-01,88,1
2012-04-01,84,1
2012-05-01,85,1
2012-06-01,87,1
2012-07-01,87,1
2012-08-01,91,2
2012-09-01,82,3
2012-10-01,80,2
2012-11-01,79,2
2012-12-01,89,2
2013-01-01,81,1
2013-02-01,83,1
2013-03-01,82,1
2013-04-01,88,1
2013-05-01,86,1
2013-06-01,86,1
2013-07-01,89,1
2013-08-01,95,1
2013-09-01,85,1
2013-10-01,82,1
2013-11-01,78,1
2013-12-01,81,1
2014-01-01,77,1
2014-02-01,77,1
2014-03-01,76,1
2014-04-01,72,1
2014-05-01,68,1
2014-06-01,75,1
2014-07-01,82,1
2014-08-01,83,1
2014-09-01,67,1
2014-10-01,71,1
2014-11-01,67,1
2014-12-01,71,1
2015-01-01,71,1
2015-02-01,65,1
2015-03-01,64,1
2015-04-01,57,1
2015-05-01,54,1
2015-06-01,54,1
2015-07-01,55,1
2015-08-01,50,1
2015-09-01,49,1
2015-10-01,47,1
2015-11-01,47,1
2015-12-01,46,1
2016-01-01,42,1
2016-02-01,36,1
2016-03-01,37,1
2016-04-01,35,1
2016-05-01,34,1
2016-06-01,35,1
2016-07-01,34,1
2016-08-01,30,1
2016-09-01,30,1
2016-10-01,31,1
2016-11-01,30,1
2016-12-01,26,1
2017-01-01,24,1
