date,facebook privacy settings photos,how to change facebook privacy settings
2011-01-01,15,18
2011-02-01,9,10
2011-03-01,11,18
2011-04-01,11,12
2011-05-01,9,14
2011-06-01,11,18
2011-07-01,9,17
2011-08-01,19,24
2011-09-01,49,51
2011-10-01,34,46
2011-11-01,47,41
2011-12-01,40,35
2012-01-01,35,33
2012-02-01,30,43
2012-03-01,22,35
2012-04-01,23,43
2012-05-01,27,41
2012-06-01,29,37
2012-07-01,33,34
2012-08-01,48,63
2012-09-01,91,84
2012-10-01,100,75
2012-11-01,59,55
2012-12-01,62,54
2013-01-01,52,45
2013-02-01,41,42
2013-03-01,35,42
2013-04-01,38,35
2013-05-01,41,37
2013-06-01,31,42
2013-07-01,35,43
2013-08-01,42,38
2013-09-01,40,40
2013-10-01,36,40
2013-11-01,31,32
2013-12-01,24,33
2014-01-01,30,34
2014-02-01,29,24
2014-03-01,21,28
2014-04-01,26,32
2014-05-01,22,31
2014-06-01,25,31
2014-07-01,18,27
2014-08-01,29,39
2014-09-01,21,27
2014-10-01,19,31
2014-11-01,16,23
2014-12-01,17,23
2015-01-01,20,28
2015-02-01,16,24
2015-03-01,18,25
2015-04-01,16,27
2015-05-01,20,28
2015-06-01,12,29
2015-07-01,21,29
2015-08-01,12,31
2015-09-01,15,25
2015-10-01,13,20
2015-11-01,15,26
2015-12-01,14,27
2016-01-01,11,28
2016-02-01,11,24
2016-03-01,13,23
2016-04-01,13,21
2016-05-01,11,22
2016-06-01,11,25
2016-07-01,13,29
2016-08-01,12,28
2016-09-01,11,24
2016-10-01,14,23
2016-11-01,9,22
2016-12-01,12,21
2017-01-01,12,24
