date,google account settings,how to change facebook privacy settings
2011-01-01,19,4
2011-02-01,21,3
2011-03-01,24,5
2011-04-01,23,3
2011-05-01,20,4
2011-06-01,24,5
2011-07-01,30,4
2011-08-01,31,6
2011-09-01,27,13
2011-10-01,30,12
2011-11-01,32,10
2011-12-01,31,9
2012-01-01,31,8
2012-02-01,41,11
2012-03-01,30,9
2012-04-01,30,11
2012-05-01,31,10
2012-06-01,41,9
2012-07-01,56,9
2012-08-01,64,16
2012-09-01,48,22
2012-10-01,32,19
2012-11-01,35,14
2012-12-01,41,14
2013-01-01,41,12
2013-02-01,44,11
2013-03-01,41,11
2013-04-01,42,9
2013-05-01,51,9
2013-06-01,40,11
2013-07-01,42,11
2013-08-01,45,10
2013-09-01,43,10
2013-10-01,51,10
2013-11-01,57,8
2013-12-01,62,8
2014-01-01,71,9
2014-02-01,75,6
2014-03-01,58,7
2014-04-01,70,8
2014-05-01,58,8
2014-06-01,72,8
2014-07-01,65,7
2014-08-01,69,10
2014-09-01,75,7
2014-10-01,68,8
2014-11-01,79,6
2014-12-01,82,6
2015-01-01,85,7
2015-02-01,83,6
2015-03-01,86,6
2015-04-01,90,7
2015-05-01,80,7
2015-06-01,65,7
2015-07-01,67,7
2015-08-01,77,8
2015-09-01,61,6
2015-10-01,53,5
2015-11-01,56,7
2015-12-01,61,7
2016-01-01,64,7
2016-02-01,56,6
2016-03-01,56,6
2016-04-01,57,5
2016-05-01,74,6
2016-06-01,94,6
2016-07-01,100,7
2016-08-01,84,7
2016-09-01,82,6
2016-10-01,75,6
2016-11-01,67,6
2016-12-01,81,5
2017-01-01,83,6
