date,how to hide mutual friends on facebook,how to change facebook privacy settings
2011-01-01,5,21
2011-02-01,10,12
2011-03-01,2,22
2011-04-01,11,14
2011-05-01,12,17
2011-06-01,11,22
2011-07-01,14,20
2011-08-01,16,29
2011-09-01,13,60
2011-10-01,15,55
2011-11-01,14,48
2011-12-01,10,42
2012-01-01,8,39
2012-02-01,12,51
2012-03-01,10,41
2012-04-01,21,51
2012-05-01,19,48
2012-06-01,16,44
2012-07-01,19,41
2012-08-01,20,75
2012-09-01,22,100
2012-10-01,14,90
2012-11-01,18,66
2012-12-01,13,64
2013-01-01,18,54
2013-02-01,21,50
2013-03-01,18,49
2013-04-01,17,42
2013-05-01,13,44
2013-06-01,18,50
2013-07-01,15,51
2013-08-01,13,45
2013-09-01,10,47
2013-10-01,12,48
2013-11-01,19,38
2013-12-01,17,39
2014-01-01,20,40
2014-02-01,18,28
2014-03-01,15,33
2014-04-01,14,38
2014-05-01,18,36
2014-06-01,16,37
2014-07-01,21,32
2014-08-01,22,47
2014-09-01,16,32
2014-10-01,14,36
2014-11-01,15,28
2014-12-01,18,27
2015-01-01,20,34
2015-02-01,17,29
2015-03-01,18,29
2015-04-01,17,32
2015-05-01,19,33
2015-06-01,16,34
2015-07-01,18,34
2015-08-01,22,36
2015-09-01,15,29
2015-10-01,18,24
2015-11-01,18,31
2015-12-01,16,32
2016-01-01,14,33
2016-02-01,17,29
2016-03-01,15,27
2016-04-01,19,25
2016-05-01,21,26
2016-06-01,22,30
2016-07-01,25,35
2016-08-01,27,33
2016-09-01,21,28
2016-10-01,22,28
2016-11-01,23,26
2016-12-01,19,25
2017-01-01,18,29
