date,facebook privacy settings change,how to change facebook privacy settings
2011-01-01,27,15
2011-02-01,25,9
2011-03-01,26,16
2011-04-01,16,10
2011-05-01,16,12
2011-06-01,22,16
2011-07-01,20,15
2011-08-01,34,21
2011-09-01,74,44
2011-10-01,59,40
2011-11-01,59,35
2011-12-01,55,30
2012-01-01,49,28
2012-02-01,55,37
2012-03-01,49,30
2012-04-01,47,37
2012-05-01,54,35
2012-06-01,52,32
2012-07-01,44,30
2012-08-01,84,54
2012-09-01,100,73
2012-10-01,93,65
2012-11-01,73,48
2012-12-01,70,47
2013-01-01,66,39
2013-02-01,65,36
2013-03-01,61,36
2013-04-01,54,30
2013-05-01,49,32
2013-06-01,52,36
2013-07-01,69,37
2013-08-01,58,32
2013-09-01,59,34
2013-10-01,65,34
2013-11-01,46,27
2013-12-01,43,29
2014-01-01,48,29
2014-02-01,36,20
2014-03-01,37,24
2014-04-01,46,28
2014-05-01,34,26
2014-06-01,46,27
2014-07-01,39,23
2014-08-01,45,34
2014-09-01,38,23
2014-10-01,43,26
2014-11-01,39,20
2014-12-01,40,19
2015-01-01,50,24
2015-02-01,33,21
2015-03-01,40,21
2015-04-01,34,23
2015-05-01,38,24
2015-06-01,42,25
2015-07-01,34,25
2015-08-01,35,26
2015-09-01,43,21
2015-10-01,33,18
2015-11-01,31,23
2015-12-01,34,23
2016-01-01,36,24
2016-02-01,32,21
2016-03-01,30,19
2016-04-01,32,18
2016-05-01,28,19
2016-06-01,42,22
2016-07-01,35,25
2016-08-01,36,24
2016-09-01,33,21
2016-10-01,37,20
2016-11-01,31,19
2016-12-01,34,18
2017-01-01,33,21
