date,create new google account,how to change facebook privacy settings
2011-01-01,16,3
2011-02-01,16,2
2011-03-01,14,3
2011-04-01,14,2
2011-05-01,18,3
2011-06-01,23,3
2011-07-01,33,3
2011-08-01,34,3
2011-09-01,32,9
2011-10-01,31,9
2011-11-01,32,7
2011-12-01,30,6
2012-01-01,26,5
2012-02-01,29,8
2012-03-01,27,7
2012-04-01,25,8
2012-05-01,33,7
2012-06-01,35,6
2012-07-01,37,7
2012-08-01,37,11
2012-09-01,39,14
2012-10-01,31,13
2012-11-01,37,10
2012-12-01,42,10
2013-01-01,37,7
2013-02-01,41,7
2013-03-01,43,7
2013-04-01,43,6
2013-05-01,46,6
2013-06-01,45,8
2013-07-01,61,8
2013-08-01,62,6
2013-09-01,59,7
2013-10-01,63,6
2013-11-01,58,6
2013-12-01,74,6
2014-01-01,66,5
2014-02-01,61,4
2014-03-01,64,5
2014-04-01,65,6
2014-05-01,65,5
2014-06-01,66,6
2014-07-01,64,5
2014-08-01,73,7
2014-09-01,70,5
2014-10-01,70,6
2014-11-01,68,4
2014-12-01,72,4
2015-01-01,68,5
2015-02-01,63,4
2015-03-01,82,4
2015-04-01,75,5
2015-05-01,74,5
2015-06-01,74,5
2015-07-01,65,5
2015-08-01,71,5
2015-09-01,86,4
2015-10-01,66,4
2015-11-01,72,5
2015-12-01,69,4
2016-01-01,65,5
2016-02-01,63,4
2016-03-01,65,4
2016-04-01,63,4
2016-05-01,68,4
2016-06-01,67,4
2016-07-01,79,5
2016-08-01,79,5
2016-09-01,82,4
2016-10-01,86,4
2016-11-01,90,4
2016-12-01,100,4
2017-01-01,93,5
