date,what is privacy,how to change facebook privacy settings
2011-01-01,70,4
2011-02-01,74,2
2011-03-01,79,4
2011-04-01,72,2
2011-05-01,74,3
2011-06-01,65,4
2011-07-01,60,4
2011-08-01,62,5
2011-09-01,72,11
2011-10-01,69,10
2011-11-01,82,9
2011-12-01,62,7
2012-01-01,66,7
2012-02-01,88,9
2012-03-01,84,7
2012-04-01,83,9
2012-05-01,80,9
2012-06-01,64,8
2012-07-01,72,7
2012-08-01,67,13
2012-09-01,88,18
2012-10-01,80,16
2012-11-01,79,12
2012-12-01,70,11
2013-01-01,72,10
2013-02-01,81,9
2013-03-01,86,9
2013-04-01,86,7
2013-05-01,80,8
2013-06-01,75,9
2013-07-01,69,9
2013-08-01,71,8
2013-09-01,88,8
2013-10-01,91,8
2013-11-01,89,7
2013-12-01,76,7
2014-01-01,76,7
2014-02-01,89,5
2014-03-01,98,6
2014-04-01,98,7
2014-05-01,92,6
2014-06-01,75,7
2014-07-01,73,6
2014-08-01,72,8
2014-09-01,96,6
2014-10-01,94,6
2014-11-01,86,5
2014-12-01,72,5
2015-01-01,78,6
2015-02-01,86,5
2015-03-01,89,5
2015-04-01,89,6
2015-05-01,84,6
2015-06-01,71,6
2015-07-01,69,6
2015-08-01,74,6
2015-09-01,96,5
2015-10-01,96,4
2015-11-01,95,6
2015-12-01,79,6
2016-01-01,79,6
2016-02-01,96,5
2016-03-01,97,5
2016-04-01,100,4
2016-05-01,99,5
2016-06-01,77,5
2016-07-01,75,6
2016-08-01,77,6
2016-09-01,92,5
2016-10-01,99,5
2016-11-01,98,5
2016-12-01,77,4
2017-01-01,84,5
