date,facebook search by email,how to change facebook privacy settings
2011-01-01,69,7
2011-02-01,80,4
2011-03-01,83,7
2011-04-01,89,5
2011-05-01,90,6
2011-06-01,86,7
2011-07-01,92,7
2011-08-01,87,10
2011-09-01,77,20
2011-10-01,69,18
2011-11-01,65,16
2011-12-01,93,14
2012-01-01,100,13
2012-02-01,84,17
2012-03-01,77,14
2012-04-01,79,17
2012-05-01,71,16
2012-06-01,74,15
2012-07-01,73,14
2012-08-01,64,25
2012-09-01,64,33
2012-10-01,54,30
2012-11-01,50,22
2012-12-01,55,21
2013-01-01,54,18
2013-02-01,50,17
2013-03-01,41,17
2013-04-01,44,14
2013-05-01,48,15
2013-06-01,46,17
2013-07-01,48,17
2013-08-01,45,15
2013-09-01,48,16
2013-10-01,44,16
2013-11-01,50,13
2013-12-01,43,13
2014-01-01,42,13
2014-02-01,34,9
2014-03-01,33,11
2014-04-01,32,13
2014-05-01,28,12
2014-06-01,30,12
2014-07-01,34,11
2014-08-01,28,16
2014-09-01,26,11
2014-10-01,29,12
2014-11-01,26,9
2014-12-01,23,9
2015-01-01,24,11
2015-02-01,21,10
2015-03-01,20,10
2015-04-01,23,11
2015-05-01,27,11
2015-06-01,25,11
2015-07-01,27,12
2015-08-01,33,12
2015-09-01,30,10
2015-10-01,22,8
2015-11-01,26,10
2015-12-01,23,11
2016-01-01,26,11
2016-02-01,23,10
2016-03-01,26,9
2016-04-01,25,8
2016-05-01,25,9
2016-06-01,23,10
2016-07-01,18,12
2016-08-01,17,11
2016-09-01,17,10
2016-10-01,16,9
2016-11-01,16,9
2016-12-01,17,8
2017-01-01,16,10
