date,how to hide all tagged photos on facebook,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,2,14
2011-03-01,2,24
2011-04-01,3,13
2011-05-01,4,18
2011-06-01,2,20
2011-07-01,4,20
2011-08-01,7,24
2011-09-01,9,66
2011-10-01,10,62
2011-11-01,7,50
2011-12-01,8,44
2012-01-01,10,38
2012-02-01,7,55
2012-03-01,9,47
2012-04-01,9,59
2012-05-01,5,46
2012-06-01,6,42
2012-07-01,5,52
2012-08-01,12,75
2012-09-01,9,100
2012-10-01,9,88
2012-11-01,7,72
2012-12-01,8,70
2013-01-01,8,50
2013-02-01,8,53
2013-03-01,7,51
2013-04-01,5,45
2013-05-01,7,43
2013-06-01,6,53
2013-07-01,7,54
2013-08-01,9,44
2013-09-01,4,49
2013-10-01,6,44
2013-11-01,5,41
2013-12-01,5,44
2014-01-01,5,36
2014-02-01,3,28
2014-03-01,3,33
2014-04-01,2,42
2014-05-01,4,38
2014-06-01,3,40
2014-07-01,4,35
2014-08-01,3,49
2014-09-01,5,32
2014-10-01,6,40
2014-11-01,1,30
2014-12-01,3,30
2015-01-01,3,34
2015-02-01,2,28
2015-03-01,2,28
2015-04-01,4,33
2015-05-01,3,35
2015-06-01,3,36
2015-07-01,3,33
2015-08-01,4,37
2015-09-01,5,30
2015-10-01,3,28
2015-11-01,2,35
2015-12-01,2,31
2016-01-01,2,37
2016-02-01,3,31
2016-03-01,3,26
2016-04-01,3,25
2016-05-01,2,27
2016-06-01,4,30
2016-07-01,6,37
2016-08-01,4,36
2016-09-01,3,31
2016-10-01,1,26
2016-11-01,2,29
2016-12-01,3,30
2017-01-01,2,33
