date,privacy settings facebook,how to change facebook privacy settings
2011-01-01,45,3
2011-02-01,42,2
2011-03-01,41,3
2011-04-01,46,2
2011-05-01,45,3
2011-06-01,46,3
2011-07-01,39,3
2011-08-01,57,5
2011-09-01,100,9
2011-10-01,75,9
2011-11-01,67,8
2011-12-01,64,7
2012-01-01,62,6
2012-02-01,57,8
2012-03-01,50,7
2012-04-01,58,8
2012-05-01,56,8
2012-06-01,55,7
2012-07-01,52,6
2012-08-01,68,12
2012-09-01,94,16
2012-10-01,90,14
2012-11-01,77,10
2012-12-01,81,10
2013-01-01,71,8
2013-02-01,74,8
2013-03-01,86,8
2013-04-01,56,7
2013-05-01,59,7
2013-06-01,54,8
2013-07-01,69,8
2013-08-01,52,7
2013-09-01,58,7
2013-10-01,75,7
2013-11-01,47,6
2013-12-01,41,6
2014-01-01,40,6
2014-02-01,38,4
2014-03-01,39,5
2014-04-01,38,6
2014-05-01,41,6
2014-06-01,37,6
2014-07-01,38,5
2014-08-01,41,7
2014-09-01,38,5
2014-10-01,34,6
2014-11-01,35,4
2014-12-01,36,4
2015-01-01,43,5
2015-02-01,33,5
2015-03-01,32,5
2015-04-01,32,5
2015-05-01,30,5
2015-06-01,34,5
2015-07-01,33,5
2015-08-01,33,6
2015-09-01,52,5
2015-10-01,31,4
2015-11-01,28,5
2015-12-01,27,5
2016-01-01,28,5
2016-02-01,27,5
2016-03-01,26,4
2016-04-01,26,4
2016-05-01,26,4
2016-06-01,32,5
2016-07-01,30,5
2016-08-01,25,5
2016-09-01,29,4
2016-10-01,30,4
2016-11-01,25,4
2016-12-01,25,4
2017-01-01,27,5
