date,how can i hide friends list on facebook,how to change facebook privacy settings
2011-01-01,12,21
2011-02-01,17,12
2011-03-01,18,22
2011-04-01,19,14
2011-05-01,21,17
2011-06-01,15,22
2011-07-01,18,20
2011-08-01,30,29
2011-09-01,35,60
2011-10-01,19,55
2011-11-01,16,48
2011-12-01,23,42
2012-01-01,13,39
2012-02-01,10,51
2012-03-01,10,41
2012-04-01,10,51
2012-05-01,9,48
2012-06-01,12,44
2012-07-01,17,41
2012-08-01,21,75
2012-09-01,21,100
2012-10-01,22,90
2012-11-01,10,66
2012-12-01,17,64
2013-01-01,18,54
2013-02-01,15,50
2013-03-01,11,49
2013-04-01,13,42
2013-05-01,9,44
2013-06-01,20,50
2013-07-01,14,51
2013-08-01,14,45
2013-09-01,16,47
2013-10-01,16,48
2013-11-01,19,38
2013-12-01,11,39
2014-01-01,15,40
2014-02-01,15,28
2014-03-01,20,33
2014-04-01,15,38
2014-05-01,11,36
2014-06-01,18,37
2014-07-01,21,32
2014-08-01,26,47
2014-09-01,15,32
2014-10-01,9,36
2014-11-01,17,28
2014-12-01,16,27
2015-01-01,20,34
2015-02-01,16,29
2015-03-01,15,29
2015-04-01,13,32
2015-05-01,16,33
2015-06-01,23,34
2015-07-01,18,34
2015-08-01,15,36
2015-09-01,12,29
2015-10-01,27,24
2015-11-01,18,31
2015-12-01,13,32
2016-01-01,17,33
2016-02-01,19,29
2016-03-01,20,27
2016-04-01,18,25
2016-05-01,16,26
2016-06-01,15,30
2016-07-01,23,35
2016-08-01,27,33
2016-09-01,19,28
2016-10-01,16,28
2016-11-01,18,26
2016-12-01,26,25
2017-01-01,19,29
