date,WhatsApp help,how to encrypt whatsapp messages
2011-01-01,5,0
2011-02-01,7,0
2011-03-01,6,0
2011-04-01,7,0
2011-05-01,10,0
2011-06-01,10,0
2011-07-01,12,0
2011-08-01,14,0
2011-09-01,10,0
2011-10-01,13,0
2011-11-01,12,0
2011-12-01,18,0
2012-01-01,18,0
2012-02-01,21,0
2012-03-01,21,0
2012-04-01,17,0
2012-05-01,16,0
2012-06-01,20,1
2012-07-01,23,1
2012-08-01,28,0
2012-09-01,29,0
2012-10-01,26,0
2012-11-01,32,0
2012-12-01,37,1
2013-01-01,35,0
2013-02-01,38,1
2013-03-01,36,0
2013-04-01,40,0
2013-05-01,37,1
2013-06-01,39,1
2013-07-01,44,1
2013-08-01,41,1
2013-09-01,38,0
2013-10-01,48,1
2013-11-01,41,1
2013-12-01,45,1
2014-01-01,44,1
2014-02-01,56,1
2014-03-01,57,0
2014-04-01,51,0
2014-05-01,56,1
2014-06-01,51,1
2014-07-01,57,0
2014-08-01,61,1
2014-09-01,57,1
2014-10-01,61,1
2014-11-01,74,1
2014-12-01,65,2
2015-01-01,88,0
2015-02-01,79,3
2015-03-01,86,1
2015-04-01,96,1
2015-05-01,80,2
2015-06-01,79,1
2015-07-01,85,1
2015-08-01,84,1
2015-09-01,92,1
2015-10-01,91,1
2015-11-01,80,1
2015-12-01,95,1
2016-01-01,87,1
2016-02-01,87,1
2016-03-01,95,1
2016-04-01,93,17
2016-05-01,97,2
2016-06-01,87,2
2016-07-01,93,2
2016-08-01,92,2
2016-09-01,99,1
2016-10-01,93,1
2016-11-01,95,1
2016-12-01,92,2
2017-01-01,100,1
