date,Anonymous WhatsApp,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,3,0
2011-04-01,0,0
2011-05-01,5,0
2011-06-01,5,0
2011-07-01,0,0
2011-08-01,10,0
2011-09-01,3,0
2011-10-01,6,0
2011-11-01,12,0
2011-12-01,6,0
2012-01-01,17,0
2012-02-01,6,0
2012-03-01,6,0
2012-04-01,6,0
2012-05-01,8,0
2012-06-01,5,3
2012-07-01,10,3
2012-08-01,9,0
2012-09-01,7,0
2012-10-01,10,0
2012-11-01,16,0
2012-12-01,11,2
2013-01-01,12,0
2013-02-01,14,2
2013-03-01,13,0
2013-04-01,17,0
2013-05-01,14,2
2013-06-01,19,2
2013-07-01,19,2
2013-08-01,13,2
2013-09-01,18,0
2013-10-01,29,2
2013-11-01,23,2
2013-12-01,16,2
2014-01-01,45,2
2014-02-01,92,2
2014-03-01,44,0
2014-04-01,25,0
2014-05-01,32,4
2014-06-01,42,2
2014-07-01,34,0
2014-08-01,31,3
2014-09-01,46,3
2014-10-01,42,2
2014-11-01,43,2
2014-12-01,48,6
2015-01-01,59,0
2015-02-01,57,8
2015-03-01,59,4
2015-04-01,56,4
2015-05-01,67,6
2015-06-01,52,2
2015-07-01,47,2
2015-08-01,44,2
2015-09-01,45,3
2015-10-01,56,4
2015-11-01,100,2
2015-12-01,75,3
2016-01-01,77,2
2016-02-01,61,3
2016-03-01,58,3
2016-04-01,59,47
2016-05-01,84,7
2016-06-01,65,6
2016-07-01,67,5
2016-08-01,55,5
2016-09-01,69,4
2016-10-01,69,2
2016-11-01,62,3
2016-12-01,68,7
2017-01-01,58,3
