date,WhatsApp monitoring,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,8,0
2011-03-01,7,0
2011-04-01,8,0
2011-05-01,11,0
2011-06-01,0,0
2011-07-01,7,0
2011-08-01,7,0
2011-09-01,10,0
2011-10-01,13,0
2011-11-01,6,0
2011-12-01,15,0
2012-01-01,17,0
2012-02-01,15,0
2012-03-01,13,0
2012-04-01,18,0
2012-05-01,15,0
2012-06-01,27,6
2012-07-01,23,6
2012-08-01,24,0
2012-09-01,15,0
2012-10-01,20,0
2012-11-01,24,0
2012-12-01,31,5
2013-01-01,20,0
2013-02-01,38,5
2013-03-01,32,0
2013-04-01,36,0
2013-05-01,35,5
2013-06-01,26,5
2013-07-01,41,5
2013-08-01,38,5
2013-09-01,42,0
2013-10-01,38,4
2013-11-01,29,4
2013-12-01,27,4
2014-01-01,33,4
2014-02-01,48,4
2014-03-01,41,0
2014-04-01,49,0
2014-05-01,29,8
2014-06-01,52,5
2014-07-01,45,0
2014-08-01,39,7
2014-09-01,57,6
2014-10-01,60,4
2014-11-01,78,4
2014-12-01,52,12
2015-01-01,63,0
2015-02-01,90,17
2015-03-01,79,8
2015-04-01,74,8
2015-05-01,51,13
2015-06-01,63,4
2015-07-01,71,4
2015-08-01,75,4
2015-09-01,67,7
2015-10-01,98,9
2015-11-01,66,5
2015-12-01,74,5
2016-01-01,83,3
2016-02-01,86,7
2016-03-01,74,6
2016-04-01,73,99
2016-05-01,58,14
2016-06-01,77,13
2016-07-01,83,11
2016-08-01,83,11
2016-09-01,73,8
2016-10-01,93,5
2016-11-01,81,7
2016-12-01,76,14
2017-01-01,100,6
