date,whatsapp lock for iphone
2011-01-01,7
2011-02-01,7
2011-03-01,7
2011-04-01,7
2011-05-01,6
2011-06-01,6
2011-07-01,6
2011-08-01,6
2011-09-01,6
2011-10-01,8
2011-11-01,11
2011-12-01,7
2012-01-01,10
2012-02-01,8
2012-03-01,15
2012-04-01,7
2012-05-01,10
2012-06-01,8
2012-07-01,15
2012-08-01,15
2012-09-01,15
2012-10-01,18
2012-11-01,24
2012-12-01,21
2013-01-01,29
2013-02-01,24
2013-03-01,20
2013-04-01,23
2013-05-01,38
2013-06-01,48
2013-07-01,38
2013-08-01,67
2013-09-01,43
2013-10-01,62
2013-11-01,45
2013-12-01,66
2014-01-01,74
2014-02-01,66
2014-03-01,80
2014-04-01,60
2014-05-01,53
2014-06-01,51
2014-07-01,77
2014-08-01,66
2014-09-01,65
2014-10-01,90
2014-11-01,79
2014-12-01,94
2015-01-01,88
2015-02-01,100
2015-03-01,85
2015-04-01,91
2015-05-01,82
2015-06-01,99
2015-07-01,71
2015-08-01,95
2015-09-01,69
2015-10-01,91
2015-11-01,81
2015-12-01,66
2016-01-01,78
2016-02-01,57
2016-03-01,71
2016-04-01,57
2016-05-01,58
2016-06-01,68
2016-07-01,81
2016-08-01,61
2016-09-01,61
2016-10-01,69
2016-11-01,58
2016-12-01,52
2017-01-01,40
