date,incognito login,best anonymous browser
2011-01-01,33,9
2011-02-01,11,15
2011-03-01,19,12
2011-04-01,7,17
2011-05-01,14,21
2011-06-01,19,19
2011-07-01,18,14
2011-08-01,8,8
2011-09-01,24,6
2011-10-01,8,14
2011-11-01,9,14
2011-12-01,15,9
2012-01-01,10,18
2012-02-01,30,10
2012-03-01,11,14
2012-04-01,23,6
2012-05-01,16,12
2012-06-01,12,18
2012-07-01,20,11
2012-08-01,16,19
2012-09-01,29,8
2012-10-01,24,22
2012-11-01,13,20
2012-12-01,10,10
2013-01-01,12,19
2013-02-01,20,16
2013-03-01,33,18
2013-04-01,20,20
2013-05-01,20,20
2013-06-01,26,21
2013-07-01,30,15
2013-08-01,26,27
2013-09-01,24,22
2013-10-01,29,22
2013-11-01,88,21
2013-12-01,34,25
2014-01-01,38,29
2014-02-01,53,19
2014-03-01,46,21
2014-04-01,31,13
2014-05-01,38,21
2014-06-01,32,17
2014-07-01,29,16
2014-08-01,37,22
2014-09-01,39,23
2014-10-01,41,20
2014-11-01,34,22
2014-12-01,38,25
2015-01-01,52,23
2015-02-01,47,16
2015-03-01,47,23
2015-04-01,53,20
2015-05-01,35,15
2015-06-01,47,19
2015-07-01,43,26
2015-08-01,43,39
2015-09-01,65,24
2015-10-01,73,27
2015-11-01,65,27
2015-12-01,72,19
2016-01-01,65,26
2016-02-01,77,20
2016-03-01,68,21
2016-04-01,69,26
2016-05-01,76,15
2016-06-01,77,25
2016-07-01,80,22
2016-08-01,82,22
2016-09-01,80,18
2016-10-01,99,17
2016-11-01,69,19
2016-12-01,84,17
2017-01-01,100,25
