date,proxy with javascript enabled,best anonymous browser
2011-01-01,20,27
2011-02-01,14,43
2011-03-01,19,25
2011-04-01,34,48
2011-05-01,19,38
2011-06-01,26,79
2011-07-01,26,26
2011-08-01,37,24
2011-09-01,24,18
2011-10-01,17,23
2011-11-01,23,34
2011-12-01,39,11
2012-01-01,26,36
2012-02-01,27,27
2012-03-01,20,25
2012-04-01,58,11
2012-05-01,49,30
2012-06-01,31,56
2012-07-01,35,30
2012-08-01,50,55
2012-09-01,15,20
2012-10-01,22,63
2012-11-01,18,49
2012-12-01,18,27
2013-01-01,16,41
2013-02-01,32,36
2013-03-01,32,48
2013-04-01,29,62
2013-05-01,12,52
2013-06-01,25,37
2013-07-01,20,40
2013-08-01,16,76
2013-09-01,27,75
2013-10-01,37,56
2013-11-01,26,42
2013-12-01,23,50
2014-01-01,25,67
2014-02-01,16,58
2014-03-01,14,56
2014-04-01,11,22
2014-05-01,40,59
2014-06-01,16,48
2014-07-01,28,36
2014-08-01,32,43
2014-09-01,26,68
2014-10-01,43,54
2014-11-01,18,41
2014-12-01,22,47
2015-01-01,20,61
2015-02-01,7,33
2015-03-01,10,57
2015-04-01,14,65
2015-05-01,7,44
2015-06-01,17,51
2015-07-01,17,53
2015-08-01,13,100
2015-09-01,13,61
2015-10-01,6,72
2015-11-01,9,70
2015-12-01,19,35
2016-01-01,6,66
2016-02-01,30,54
2016-03-01,22,48
2016-04-01,18,62
2016-05-01,11,31
2016-06-01,9,61
2016-07-01,9,65
2016-08-01,14,55
2016-09-01,11,51
2016-10-01,8,49
2016-11-01,5,38
2016-12-01,5,41
2017-01-01,5,49
