date,best free proxy,best anonymous browser
2011-01-01,59,1
2011-02-01,53,2
2011-03-01,54,2
2011-04-01,53,2
2011-05-01,49,3
2011-06-01,48,2
2011-07-01,48,2
2011-08-01,42,1
2011-09-01,49,1
2011-10-01,36,2
2011-11-01,45,2
2011-12-01,52,1
2012-01-01,59,2
2012-02-01,56,1
2012-03-01,54,2
2012-04-01,55,1
2012-05-01,53,2
2012-06-01,59,2
2012-07-01,52,1
2012-08-01,61,2
2012-09-01,61,1
2012-10-01,64,3
2012-11-01,55,3
2012-12-01,65,1
2013-01-01,69,3
2013-02-01,74,2
2013-03-01,74,2
2013-04-01,68,3
2013-05-01,67,3
2013-06-01,70,3
2013-07-01,72,2
2013-08-01,76,4
2013-09-01,74,3
2013-10-01,71,3
2013-11-01,86,3
2013-12-01,82,3
2014-01-01,95,4
2014-02-01,100,3
2014-03-01,85,3
2014-04-01,83,2
2014-05-01,80,3
2014-06-01,90,2
2014-07-01,87,2
2014-08-01,95,3
2014-09-01,88,3
2014-10-01,89,3
2014-11-01,80,3
2014-12-01,86,3
2015-01-01,86,3
2015-02-01,74,2
2015-03-01,73,3
2015-04-01,80,3
2015-05-01,69,2
2015-06-01,71,3
2015-07-01,72,3
2015-08-01,87,5
2015-09-01,75,3
2015-10-01,71,4
2015-11-01,62,4
2015-12-01,67,3
2016-01-01,72,3
2016-02-01,65,3
2016-03-01,64,3
2016-04-01,60,3
2016-05-01,57,2
2016-06-01,58,3
2016-07-01,67,3
2016-08-01,69,3
2016-09-01,67,2
2016-10-01,67,2
2016-11-01,65,3
2016-12-01,65,2
2017-01-01,58,3
