date,hide searches,best anonymous browser
2011-01-01,50,18
2011-02-01,48,24
2011-03-01,39,9
2011-04-01,65,47
2011-05-01,31,13
2011-06-01,76,27
2011-07-01,62,18
2011-08-01,29,17
2011-09-01,57,33
2011-10-01,39,8
2011-11-01,47,31
2011-12-01,38,15
2012-01-01,60,43
2012-02-01,52,18
2012-03-01,52,21
2012-04-01,36,25
2012-05-01,54,20
2012-06-01,63,28
2012-07-01,62,7
2012-08-01,51,21
2012-09-01,34,17
2012-10-01,40,25
2012-11-01,52,28
2012-12-01,53,19
2013-01-01,42,17
2013-02-01,34,22
2013-03-01,36,31
2013-04-01,42,26
2013-05-01,38,36
2013-06-01,17,25
2013-07-01,53,42
2013-08-01,49,50
2013-09-01,62,41
2013-10-01,77,15
2013-11-01,34,39
2013-12-01,34,37
2014-01-01,73,39
2014-02-01,40,40
2014-03-01,50,36
2014-04-01,49,25
2014-05-01,60,43
2014-06-01,61,28
2014-07-01,43,30
2014-08-01,54,30
2014-09-01,34,52
2014-10-01,57,40
2014-11-01,48,30
2014-12-01,35,30
2015-01-01,46,44
2015-02-01,48,28
2015-03-01,60,51
2015-04-01,37,35
2015-05-01,61,37
2015-06-01,58,35
2015-07-01,62,30
2015-08-01,63,54
2015-09-01,62,40
2015-10-01,51,46
2015-11-01,41,46
2015-12-01,72,37
2016-01-01,50,50
2016-02-01,55,31
2016-03-01,58,27
2016-04-01,60,34
2016-05-01,80,31
2016-06-01,68,30
2016-07-01,72,46
2016-08-01,73,40
2016-09-01,63,43
2016-10-01,100,22
2016-11-01,93,28
2016-12-01,97,26
2017-01-01,82,53
