date,anonymous browsing chrome,best anonymous browser
2011-01-01,42,24
2011-02-01,50,40
2011-03-01,49,31
2011-04-01,33,43
2011-05-01,36,54
2011-06-01,62,48
2011-07-01,46,36
2011-08-01,60,21
2011-09-01,32,17
2011-10-01,32,36
2011-11-01,64,36
2011-12-01,71,23
2012-01-01,91,47
2012-02-01,83,26
2012-03-01,67,35
2012-04-01,67,15
2012-05-01,79,31
2012-06-01,61,46
2012-07-01,81,28
2012-08-01,98,49
2012-09-01,48,21
2012-10-01,54,57
2012-11-01,57,51
2012-12-01,44,25
2013-01-01,69,49
2013-02-01,64,41
2013-03-01,56,48
2013-04-01,61,52
2013-05-01,64,53
2013-06-01,84,55
2013-07-01,74,40
2013-08-01,53,70
2013-09-01,41,58
2013-10-01,55,58
2013-11-01,61,53
2013-12-01,67,64
2014-01-01,37,74
2014-02-01,38,49
2014-03-01,61,54
2014-04-01,45,33
2014-05-01,26,54
2014-06-01,65,45
2014-07-01,75,41
2014-08-01,69,58
2014-09-01,50,61
2014-10-01,63,53
2014-11-01,59,57
2014-12-01,41,66
2015-01-01,57,59
2015-02-01,59,41
2015-03-01,45,61
2015-04-01,41,53
2015-05-01,40,40
2015-06-01,48,50
2015-07-01,52,68
2015-08-01,54,100
2015-09-01,43,63
2015-10-01,61,69
2015-11-01,42,71
2015-12-01,36,49
2016-01-01,47,68
2016-02-01,59,51
2016-03-01,49,55
2016-04-01,39,68
2016-05-01,34,38
2016-06-01,27,66
2016-07-01,50,58
2016-08-01,34,57
2016-09-01,34,46
2016-10-01,34,44
2016-11-01,27,50
2016-12-01,42,44
2017-01-01,35,65
