date,Search in secret,best anonymous browser
2011-01-01,100,6
2011-02-01,68,5
2011-03-01,75,7
2011-04-01,90,13
2011-05-01,78,13
2011-06-01,74,9
2011-07-01,86,10
2011-08-01,70,7
2011-09-01,71,13
2011-10-01,74,5
2011-11-01,89,5
2011-12-01,89,6
2012-01-01,88,16
2012-02-01,94,11
2012-03-01,59,9
2012-04-01,69,5
2012-05-01,66,11
2012-06-01,66,9
2012-07-01,73,7
2012-08-01,80,7
2012-09-01,72,9
2012-10-01,63,9
2012-11-01,67,19
2012-12-01,73,13
2013-01-01,64,9
2013-02-01,73,10
2013-03-01,56,13
2013-04-01,68,14
2013-05-01,62,10
2013-06-01,72,15
2013-07-01,57,12
2013-08-01,61,13
2013-09-01,73,11
2013-10-01,67,17
2013-11-01,85,16
2013-12-01,70,9
2014-01-01,82,21
2014-02-01,65,17
2014-03-01,63,14
2014-04-01,74,12
2014-05-01,74,15
2014-06-01,76,10
2014-07-01,64,7
2014-08-01,70,13
2014-09-01,79,12
2014-10-01,78,13
2014-11-01,68,21
2014-12-01,75,14
2015-01-01,77,13
2015-02-01,74,10
2015-03-01,71,15
2015-04-01,64,13
2015-05-01,59,8
2015-06-01,56,12
2015-07-01,69,22
2015-08-01,74,26
2015-09-01,60,14
2015-10-01,74,11
2015-11-01,95,21
2015-12-01,75,14
2016-01-01,78,18
2016-02-01,72,18
2016-03-01,60,11
2016-04-01,64,16
2016-05-01,67,18
2016-06-01,66,14
2016-07-01,75,17
2016-08-01,71,19
2016-09-01,75,15
2016-10-01,55,12
2016-11-01,68,12
2016-12-01,60,14
2017-01-01,70,18
