date,incognito mode android history,best anonymous browser
2011-01-01,0,24
2011-02-01,0,40
2011-03-01,0,31
2011-04-01,14,43
2011-05-01,0,54
2011-06-01,0,48
2011-07-01,0,36
2011-08-01,0,21
2011-09-01,0,17
2011-10-01,0,36
2011-11-01,0,36
2011-12-01,12,23
2012-01-01,17,47
2012-02-01,23,26
2012-03-01,11,35
2012-04-01,11,15
2012-05-01,16,31
2012-06-01,22,46
2012-07-01,10,28
2012-08-01,10,49
2012-09-01,10,21
2012-10-01,10,57
2012-11-01,10,51
2012-12-01,10,25
2013-01-01,10,49
2013-02-01,10,41
2013-03-01,8,48
2013-04-01,9,52
2013-05-01,8,53
2013-06-01,9,55
2013-07-01,8,40
2013-08-01,8,70
2013-09-01,12,58
2013-10-01,8,58
2013-11-01,8,53
2013-12-01,8,64
2014-01-01,7,74
2014-02-01,25,49
2014-03-01,18,54
2014-04-01,20,33
2014-05-01,11,54
2014-06-01,21,45
2014-07-01,17,41
2014-08-01,14,58
2014-09-01,12,61
2014-10-01,8,53
2014-11-01,19,57
2014-12-01,15,66
2015-01-01,17,59
2015-02-01,8,41
2015-03-01,14,61
2015-04-01,18,53
2015-05-01,24,40
2015-06-01,12,50
2015-07-01,19,68
2015-08-01,16,100
2015-09-01,18,63
2015-10-01,16,69
2015-11-01,13,71
2015-12-01,23,49
2016-01-01,13,68
2016-02-01,13,51
2016-03-01,24,55
2016-04-01,14,68
2016-05-01,20,38
2016-06-01,18,66
2016-07-01,19,58
2016-08-01,28,57
2016-09-01,28,46
2016-10-01,23,44
2016-11-01,21,50
2016-12-01,33,44
2017-01-01,22,65
