date,Anonymous Search engine,best anonymous browser
2011-01-01,38,6
2011-02-01,22,10
2011-03-01,21,7
2011-04-01,28,16
2011-05-01,38,7
2011-06-01,42,12
2011-07-01,42,8
2011-08-01,29,6
2011-09-01,35,14
2011-10-01,35,6
2011-11-01,38,11
2011-12-01,28,12
2012-01-01,56,20
2012-02-01,77,12
2012-03-01,76,12
2012-04-01,49,11
2012-05-01,62,10
2012-06-01,56,12
2012-07-01,54,6
2012-08-01,52,9
2012-09-01,53,7
2012-10-01,53,9
2012-11-01,49,15
2012-12-01,59,10
2013-01-01,40,10
2013-02-01,37,10
2013-03-01,45,13
2013-04-01,64,12
2013-05-01,42,13
2013-06-01,100,13
2013-07-01,77,14
2013-08-01,87,18
2013-09-01,73,17
2013-10-01,66,9
2013-11-01,68,17
2013-12-01,82,17
2014-01-01,98,19
2014-02-01,93,18
2014-03-01,69,16
2014-04-01,82,13
2014-05-01,73,15
2014-06-01,78,11
2014-07-01,57,14
2014-08-01,69,16
2014-09-01,66,18
2014-10-01,63,17
2014-11-01,61,22
2014-12-01,67,17
2015-01-01,71,18
2015-02-01,57,15
2015-03-01,43,21
2015-04-01,50,14
2015-05-01,50,15
2015-06-01,51,19
2015-07-01,48,17
2015-08-01,56,27
2015-09-01,69,18
2015-10-01,52,18
2015-11-01,55,21
2015-12-01,51,14
2016-01-01,47,20
2016-02-01,50,16
2016-03-01,42,15
2016-04-01,45,19
2016-05-01,47,17
2016-06-01,40,18
2016-07-01,54,23
2016-08-01,38,21
2016-09-01,39,18
2016-10-01,42,10
2016-11-01,42,17
2016-12-01,32,14
2017-01-01,31,20
