date,best privacy browser,best anonymous browser
2011-01-01,20,14
2011-02-01,18,24
2011-03-01,27,19
2011-04-01,18,26
2011-05-01,14,33
2011-06-01,20,29
2011-07-01,17,22
2011-08-01,26,13
2011-09-01,44,10
2011-10-01,22,22
2011-11-01,24,22
2011-12-01,17,14
2012-01-01,38,29
2012-02-01,51,16
2012-03-01,63,22
2012-04-01,39,9
2012-05-01,38,19
2012-06-01,37,28
2012-07-01,35,17
2012-08-01,36,30
2012-09-01,19,13
2012-10-01,21,35
2012-11-01,21,31
2012-12-01,39,16
2013-01-01,32,30
2013-02-01,41,25
2013-03-01,36,29
2013-04-01,28,32
2013-05-01,41,32
2013-06-01,44,33
2013-07-01,71,24
2013-08-01,55,43
2013-09-01,46,35
2013-10-01,42,35
2013-11-01,49,33
2013-12-01,85,39
2014-01-01,53,46
2014-02-01,52,30
2014-03-01,49,33
2014-04-01,43,20
2014-05-01,53,33
2014-06-01,50,28
2014-07-01,59,25
2014-08-01,75,36
2014-09-01,57,37
2014-10-01,71,32
2014-11-01,63,35
2014-12-01,54,40
2015-01-01,48,36
2015-02-01,64,25
2015-03-01,57,37
2015-04-01,78,32
2015-05-01,59,24
2015-06-01,66,31
2015-07-01,55,42
2015-08-01,74,61
2015-09-01,78,39
2015-10-01,77,43
2015-11-01,95,44
2015-12-01,70,30
2016-01-01,69,42
2016-02-01,75,31
2016-03-01,82,34
2016-04-01,79,41
2016-05-01,61,23
2016-06-01,69,40
2016-07-01,81,36
2016-08-01,83,35
2016-09-01,75,28
2016-10-01,71,27
2016-11-01,96,31
2016-12-01,90,27
2017-01-01,100,40
