date,How to be anonymous online,best anonymous browser
2011-01-01,14,24
2011-02-01,22,20
2011-03-01,13,27
2011-04-01,21,48
2011-05-01,27,49
2011-06-01,27,32
2011-07-01,14,37
2011-08-01,13,26
2011-09-01,42,50
2011-10-01,24,20
2011-11-01,28,20
2011-12-01,39,24
2012-01-01,36,62
2012-02-01,34,41
2012-03-01,32,36
2012-04-01,22,19
2012-05-01,28,41
2012-06-01,22,36
2012-07-01,21,25
2012-08-01,49,28
2012-09-01,56,35
2012-10-01,33,35
2012-11-01,32,70
2012-12-01,41,51
2013-01-01,23,35
2013-02-01,45,38
2013-03-01,42,48
2013-04-01,38,52
2013-05-01,25,37
2013-06-01,58,57
2013-07-01,48,45
2013-08-01,37,51
2013-09-01,25,42
2013-10-01,50,63
2013-11-01,35,59
2013-12-01,35,35
2014-01-01,38,80
2014-02-01,25,66
2014-03-01,46,51
2014-04-01,41,46
2014-05-01,46,56
2014-06-01,43,37
2014-07-01,36,28
2014-08-01,61,50
2014-09-01,34,45
2014-10-01,30,48
2014-11-01,39,80
2014-12-01,51,53
2015-01-01,57,50
2015-02-01,39,39
2015-03-01,61,59
2015-04-01,31,50
2015-05-01,44,30
2015-06-01,29,45
2015-07-01,47,82
2015-08-01,56,100
2015-09-01,43,55
2015-10-01,58,43
2015-11-01,58,78
2015-12-01,56,52
2016-01-01,53,68
2016-02-01,38,68
2016-03-01,51,42
2016-04-01,43,59
2016-05-01,44,69
2016-06-01,60,51
2016-07-01,54,64
2016-08-01,59,71
2016-09-01,64,58
2016-10-01,44,44
2016-11-01,58,46
2016-12-01,38,54
2017-01-01,45,67
