date,browse anonymously,best anonymous browser
2011-01-01,69,5
2011-02-01,59,8
2011-03-01,56,5
2011-04-01,59,12
2011-05-01,52,5
2011-06-01,58,10
2011-07-01,96,6
2011-08-01,70,5
2011-09-01,66,11
2011-10-01,64,5
2011-11-01,70,8
2011-12-01,68,9
2012-01-01,71,16
2012-02-01,87,10
2012-03-01,72,9
2012-04-01,64,9
2012-05-01,66,8
2012-06-01,75,9
2012-07-01,91,5
2012-08-01,70,7
2012-09-01,69,6
2012-10-01,71,7
2012-11-01,58,12
2012-12-01,66,8
2013-01-01,69,8
2013-02-01,66,7
2013-03-01,72,10
2013-04-01,74,9
2013-05-01,79,10
2013-06-01,66,10
2013-07-01,83,11
2013-08-01,77,14
2013-09-01,67,13
2013-10-01,56,7
2013-11-01,56,14
2013-12-01,70,13
2014-01-01,67,14
2014-02-01,64,14
2014-03-01,67,12
2014-04-01,62,10
2014-05-01,67,12
2014-06-01,73,8
2014-07-01,100,11
2014-08-01,70,12
2014-09-01,66,14
2014-10-01,62,13
2014-11-01,68,17
2014-12-01,73,13
2015-01-01,79,14
2015-02-01,64,12
2015-03-01,67,16
2015-04-01,65,11
2015-05-01,64,11
2015-06-01,65,15
2015-07-01,83,13
2015-08-01,81,21
2015-09-01,74,14
2015-10-01,68,14
2015-11-01,60,16
2015-12-01,53,11
2016-01-01,58,15
2016-02-01,60,12
2016-03-01,58,12
2016-04-01,43,15
2016-05-01,49,13
2016-06-01,52,14
2016-07-01,65,18
2016-08-01,48,16
2016-09-01,55,14
2016-10-01,51,7
2016-11-01,57,13
2016-12-01,53,11
2017-01-01,61,15
