date,hide ip online,best anonymous browser
2011-01-01,74,2
2011-02-01,68,3
2011-03-01,62,2
2011-04-01,83,4
2011-05-01,70,3
2011-06-01,65,6
2011-07-01,74,2
2011-08-01,70,2
2011-09-01,68,1
2011-10-01,59,2
2011-11-01,66,3
2011-12-01,65,1
2012-01-01,68,3
2012-02-01,65,2
2012-03-01,57,2
2012-04-01,51,1
2012-05-01,51,2
2012-06-01,60,4
2012-07-01,57,2
2012-08-01,58,4
2012-09-01,65,2
2012-10-01,63,5
2012-11-01,49,4
2012-12-01,100,2
2013-01-01,78,3
2013-02-01,63,3
2013-03-01,66,4
2013-04-01,65,5
2013-05-01,55,4
2013-06-01,60,3
2013-07-01,60,3
2013-08-01,65,6
2013-09-01,65,6
2013-10-01,66,4
2013-11-01,54,3
2013-12-01,59,4
2014-01-01,60,5
2014-02-01,59,4
2014-03-01,59,4
2014-04-01,62,2
2014-05-01,52,4
2014-06-01,85,4
2014-07-01,88,3
2014-08-01,73,3
2014-09-01,70,5
2014-10-01,72,4
2014-11-01,70,3
2014-12-01,63,4
2015-01-01,70,5
2015-02-01,66,3
2015-03-01,61,4
2015-04-01,70,5
2015-05-01,71,3
2015-06-01,58,4
2015-07-01,53,4
2015-08-01,65,8
2015-09-01,68,5
2015-10-01,69,5
2015-11-01,55,5
2015-12-01,55,3
2016-01-01,59,5
2016-02-01,52,4
2016-03-01,53,4
2016-04-01,46,5
2016-05-01,48,2
2016-06-01,45,5
2016-07-01,59,5
2016-08-01,54,4
2016-09-01,54,4
2016-10-01,50,4
2016-11-01,53,3
2016-12-01,55,3
2017-01-01,47,4
