date,best anonymous browser
2011-01-01,23
2011-02-01,38
2011-03-01,25
2011-04-01,58
2011-05-01,25
2011-06-01,46
2011-07-01,30
2011-08-01,24
2011-09-01,51
2011-10-01,22
2011-11-01,40
2011-12-01,44
2012-01-01,76
2012-02-01,46
2012-03-01,43
2012-04-01,41
2012-05-01,38
2012-06-01,44
2012-07-01,23
2012-08-01,35
2012-09-01,27
2012-10-01,35
2012-11-01,56
2012-12-01,39
2013-01-01,38
2013-02-01,35
2013-03-01,47
2013-04-01,45
2013-05-01,50
2013-06-01,48
2013-07-01,53
2013-08-01,65
2013-09-01,64
2013-10-01,35
2013-11-01,65
2013-12-01,62
2014-01-01,69
2014-02-01,66
2014-03-01,59
2014-04-01,48
2014-05-01,57
2014-06-01,41
2014-07-01,52
2014-08-01,58
2014-09-01,67
2014-10-01,62
2014-11-01,80
2014-12-01,62
2015-01-01,66
2015-02-01,57
2015-03-01,78
2015-04-01,53
2015-05-01,54
2015-06-01,71
2015-07-01,62
2015-08-01,100
2015-09-01,66
2015-10-01,67
2015-11-01,79
2015-12-01,52
2016-01-01,73
2016-02-01,58
2016-03-01,57
2016-04-01,71
2016-05-01,62
2016-06-01,68
2016-07-01,84
2016-08-01,78
2016-09-01,67
2016-10-01,36
2016-11-01,62
2016-12-01,53
2017-01-01,74
