date,hacking Skype,skype privacy policy
2011-01-01,78,3
2011-02-01,73,5
2011-03-01,61,6
2011-04-01,50,5
2011-05-01,53,4
2011-06-01,64,3
2011-07-01,73,4
2011-08-01,87,2
2011-09-01,100,6
2011-10-01,77,2
2011-11-01,77,7
2011-12-01,79,4
2012-01-01,71,4
2012-02-01,81,4
2012-03-01,83,3
2012-04-01,72,4
2012-05-01,90,4
2012-06-01,88,3
2012-07-01,66,3
2012-08-01,81,0
2012-09-01,76,5
2012-10-01,71,3
2012-11-01,86,3
2012-12-01,58,2
2013-01-01,76,5
2013-02-01,62,3
2013-03-01,80,4
2013-04-01,65,3
2013-05-01,66,3
2013-06-01,83,2
2013-07-01,67,4
2013-08-01,80,3
2013-09-01,74,7
2013-10-01,68,0
2013-11-01,67,1
2013-12-01,70,4
2014-01-01,75,3
2014-02-01,67,3
2014-03-01,58,2
2014-04-01,74,3
2014-05-01,58,0
2014-06-01,49,6
2014-07-01,60,2
2014-08-01,67,3
2014-09-01,50,3
2014-10-01,43,6
2014-11-01,51,0
2014-12-01,46,3
2015-01-01,51,4
2015-02-01,44,1
2015-03-01,47,5
2015-04-01,40,1
2015-05-01,47,4
2015-06-01,38,2
2015-07-01,50,6
2015-08-01,44,3
2015-09-01,45,4
2015-10-01,38,1
2015-11-01,32,3
2015-12-01,39,4
2016-01-01,41,4
2016-02-01,31,2
2016-03-01,31,2
2016-04-01,31,2
2016-05-01,29,4
2016-06-01,28,3
2016-07-01,30,2
2016-08-01,23,3
2016-09-01,26,2
2016-10-01,29,3
2016-11-01,30,3
2016-12-01,17,2
2017-01-01,18,0
