date,How do i delete my youtube account
2011-01-01,34
2011-02-01,40
2011-03-01,36
2011-04-01,44
2011-05-01,29
2011-06-01,61
2011-07-01,52
2011-08-01,84
2011-09-01,52
2011-10-01,78
2011-11-01,58
2011-12-01,82
2012-01-01,72
2012-02-01,50
2012-03-01,55
2012-04-01,78
2012-05-01,77
2012-06-01,83
2012-07-01,100
2012-08-01,78
2012-09-01,52
2012-10-01,79
2012-11-01,73
2012-12-01,72
2013-01-01,79
2013-02-01,73
2013-03-01,69
2013-04-01,68
2013-05-01,52
2013-06-01,68
2013-07-01,78
2013-08-01,66
2013-09-01,62
2013-10-01,61
2013-11-01,56
2013-12-01,61
2014-01-01,73
2014-02-01,58
2014-03-01,57
2014-04-01,48
2014-05-01,49
2014-06-01,26
2014-07-01,51
2014-08-01,42
2014-09-01,31
2014-10-01,32
2014-11-01,34
2014-12-01,26
2015-01-01,36
2015-02-01,26
2015-03-01,34
2015-04-01,40
2015-05-01,37
2015-06-01,27
2015-07-01,29
2015-08-01,27
2015-09-01,34
2015-10-01,26
2015-11-01,32
2015-12-01,28
2016-01-01,34
2016-02-01,16
2016-03-01,29
2016-04-01,31
2016-05-01,31
2016-06-01,21
2016-07-01,29
2016-08-01,30
2016-09-01,23
2016-10-01,22
2016-11-01,24
2016-12-01,26
2017-01-01,20
