date,disable youtube account
2011-01-01,32
2011-02-01,23
2011-03-01,51
2011-04-01,66
2011-05-01,46
2011-06-01,63
2011-07-01,36
2011-08-01,64
2011-09-01,53
2011-10-01,95
2011-11-01,55
2011-12-01,94
2012-01-01,62
2012-02-01,51
2012-03-01,49
2012-04-01,30
2012-05-01,51
2012-06-01,97
2012-07-01,61
2012-08-01,68
2012-09-01,64
2012-10-01,36
2012-11-01,51
2012-12-01,76
2013-01-01,82
2013-02-01,84
2013-03-01,71
2013-04-01,69
2013-05-01,83
2013-06-01,85
2013-07-01,74
2013-08-01,80
2013-09-01,98
2013-10-01,57
2013-11-01,58
2013-12-01,85
2014-01-01,77
2014-02-01,74
2014-03-01,78
2014-04-01,52
2014-05-01,32
2014-06-01,100
2014-07-01,73
2014-08-01,82
2014-09-01,66
2014-10-01,57
2014-11-01,74
2014-12-01,78
2015-01-01,60
2015-02-01,76
2015-03-01,75
2015-04-01,61
2015-05-01,45
2015-06-01,71
2015-07-01,78
2015-08-01,69
2015-09-01,78
2015-10-01,56
2015-11-01,48
2015-12-01,49
2016-01-01,77
2016-02-01,58
2016-03-01,41
2016-04-01,61
2016-05-01,36
2016-06-01,59
2016-07-01,59
2016-08-01,80
2016-09-01,80
2016-10-01,76
2016-11-01,46
2016-12-01,94
2017-01-01,97
