date,=+remove youtube -video
2011-01-01,53
2011-02-01,54
2011-03-01,54
2011-04-01,55
2011-05-01,56
2011-06-01,57
2011-07-01,61
2011-08-01,63
2011-09-01,58
2011-10-01,59
2011-11-01,62
2011-12-01,69
2012-01-01,62
2012-02-01,63
2012-03-01,70
2012-04-01,69
2012-05-01,65
2012-06-01,67
2012-07-01,70
2012-08-01,72
2012-09-01,78
2012-10-01,71
2012-11-01,69
2012-12-01,80
2013-01-01,79
2013-02-01,78
2013-03-01,80
2013-04-01,76
2013-05-01,75
2013-06-01,78
2013-07-01,78
2013-08-01,84
2013-09-01,81
2013-10-01,88
2013-11-01,91
2013-12-01,93
2014-01-01,92
2014-02-01,90
2014-03-01,94
2014-04-01,92
2014-05-01,91
2014-06-01,89
2014-07-01,91
2014-08-01,98
2014-09-01,96
2014-10-01,92
2014-11-01,94
2014-12-01,94
2015-01-01,92
2015-02-01,93
2015-03-01,89
2015-04-01,92
2015-05-01,93
2015-06-01,94
2015-07-01,98
2015-08-01,100
2015-09-01,89
2015-10-01,85
2015-11-01,84
2015-12-01,88
2016-01-01,91
2016-02-01,82
2016-03-01,84
2016-04-01,82
2016-05-01,82
2016-06-01,81
2016-07-01,88
2016-08-01,88
2016-09-01,84
2016-10-01,85
2016-11-01,79
2016-12-01,82
2017-01-01,82
