date,delete youtube account
2011-01-01,40
2011-02-01,38
2011-03-01,40
2011-04-01,42
2011-05-01,39
2011-06-01,51
2011-07-01,60
2011-08-01,61
2011-09-01,56
2011-10-01,64
2011-11-01,70
2011-12-01,79
2012-01-01,74
2012-02-01,65
2012-03-01,65
2012-04-01,77
2012-05-01,80
2012-06-01,83
2012-07-01,85
2012-08-01,80
2012-09-01,70
2012-10-01,72
2012-11-01,72
2012-12-01,82
2013-01-01,85
2013-02-01,82
2013-03-01,86
2013-04-01,80
2013-05-01,78
2013-06-01,83
2013-07-01,91
2013-08-01,100
2013-09-01,77
2013-10-01,68
2013-11-01,72
2013-12-01,73
2014-01-01,73
2014-02-01,63
2014-03-01,69
2014-04-01,63
2014-05-01,63
2014-06-01,64
2014-07-01,71
2014-08-01,70
2014-09-01,60
2014-10-01,61
2014-11-01,60
2014-12-01,63
2015-01-01,62
2015-02-01,58
2015-03-01,51
2015-04-01,55
2015-05-01,54
2015-06-01,56
2015-07-01,62
2015-08-01,62
2015-09-01,51
2015-10-01,46
2015-11-01,51
2015-12-01,56
2016-01-01,53
2016-02-01,50
2016-03-01,50
2016-04-01,47
2016-05-01,47
2016-06-01,52
2016-07-01,59
2016-08-01,53
2016-09-01,50
2016-10-01,46
2016-11-01,49
2016-12-01,54
2017-01-01,55
