date,facebook setting privacy,how to change facebook privacy settings
2011-01-01,63,16
2011-02-01,48,11
2011-03-01,43,19
2011-04-01,50,10
2011-05-01,38,14
2011-06-01,50,15
2011-07-01,47,15
2011-08-01,48,18
2011-09-01,100,51
2011-10-01,70,48
2011-11-01,64,38
2011-12-01,55,34
2012-01-01,49,29
2012-02-01,47,42
2012-03-01,45,36
2012-04-01,42,45
2012-05-01,50,35
2012-06-01,36,32
2012-07-01,38,40
2012-08-01,57,57
2012-09-01,78,76
2012-10-01,79,68
2012-11-01,56,55
2012-12-01,59,53
2013-01-01,60,38
2013-02-01,57,40
2013-03-01,68,39
2013-04-01,47,34
2013-05-01,49,33
2013-06-01,43,41
2013-07-01,56,41
2013-08-01,50,33
2013-09-01,55,37
2013-10-01,75,33
2013-11-01,46,31
2013-12-01,39,33
2014-01-01,38,28
2014-02-01,43,22
2014-03-01,44,25
2014-04-01,49,32
2014-05-01,34,29
2014-06-01,37,31
2014-07-01,41,27
2014-08-01,41,37
2014-09-01,39,25
2014-10-01,41,31
2014-11-01,37,23
2014-12-01,39,23
2015-01-01,34,26
2015-02-01,32,22
2015-03-01,26,22
2015-04-01,29,26
2015-05-01,31,27
2015-06-01,32,27
2015-07-01,34,26
2015-08-01,32,28
2015-09-01,52,23
2015-10-01,28,21
2015-11-01,29,27
2015-12-01,28,24
2016-01-01,33,28
2016-02-01,21,24
2016-03-01,27,20
2016-04-01,27,19
2016-05-01,23,21
2016-06-01,28,23
2016-07-01,33,28
2016-08-01,25,27
2016-09-01,28,24
2016-10-01,33,20
2016-11-01,24,22
2016-12-01,25,23
2017-01-01,25,25
