date,privacy settings facebook,how to change facebook privacy settings
2011-01-01,52,3
2011-02-01,40,3
2011-03-01,41,3
2011-04-01,40,2
2011-05-01,42,1
2011-06-01,48,4
2011-07-01,43,2
2011-08-01,60,4
2011-09-01,100,11
2011-10-01,70,7
2011-11-01,67,10
2011-12-01,58,8
2012-01-01,64,7
2012-02-01,62,8
2012-03-01,47,7
2012-04-01,54,6
2012-05-01,55,7
2012-06-01,54,8
2012-07-01,51,5
2012-08-01,68,10
2012-09-01,93,16
2012-10-01,84,14
2012-11-01,80,10
2012-12-01,79,10
2013-01-01,70,9
2013-02-01,78,8
2013-03-01,82,7
2013-04-01,57,6
2013-05-01,55,8
2013-06-01,53,8
2013-07-01,66,8
2013-08-01,51,7
2013-09-01,56,7
2013-10-01,78,7
2013-11-01,42,7
2013-12-01,45,6
2014-01-01,40,7
2014-02-01,37,5
2014-03-01,38,5
2014-04-01,39,5
2014-05-01,38,5
2014-06-01,37,6
2014-07-01,41,6
2014-08-01,42,6
2014-09-01,37,5
2014-10-01,37,6
2014-11-01,33,4
2014-12-01,34,4
2015-01-01,41,6
2015-02-01,33,5
2015-03-01,32,5
2015-04-01,29,5
2015-05-01,30,5
2015-06-01,31,4
2015-07-01,32,6
2015-08-01,31,6
2015-09-01,51,5
2015-10-01,32,4
2015-11-01,27,5
2015-12-01,28,4
2016-01-01,24,6
2016-02-01,26,5
2016-03-01,24,4
2016-04-01,26,4
2016-05-01,25,5
2016-06-01,33,5
2016-07-01,29,5
2016-08-01,24,5
2016-09-01,30,5
2016-10-01,28,5
2016-11-01,25,5
2016-12-01,24,3
2017-01-01,26,5
