date,change fb name,how to change facebook privacy settings
2011-01-01,17,9
2011-02-01,19,7
2011-03-01,20,7
2011-04-01,23,5
2011-05-01,21,5
2011-06-01,24,8
2011-07-01,28,7
2011-08-01,28,10
2011-09-01,32,26
2011-10-01,30,23
2011-11-01,29,22
2011-12-01,28,19
2012-01-01,28,14
2012-02-01,22,19
2012-03-01,29,18
2012-04-01,29,16
2012-05-01,28,17
2012-06-01,33,17
2012-07-01,37,16
2012-08-01,36,23
2012-09-01,33,39
2012-10-01,34,36
2012-11-01,32,28
2012-12-01,33,25
2013-01-01,34,23
2013-02-01,32,23
2013-03-01,32,20
2013-04-01,32,16
2013-05-01,33,17
2013-06-01,39,19
2013-07-01,39,21
2013-08-01,41,20
2013-09-01,44,19
2013-10-01,39,17
2013-11-01,39,14
2013-12-01,40,15
2014-01-01,48,18
2014-02-01,49,12
2014-03-01,49,12
2014-04-01,50,16
2014-05-01,58,14
2014-06-01,67,15
2014-07-01,70,11
2014-08-01,69,18
2014-09-01,70,13
2014-10-01,62,12
2014-11-01,67,12
2014-12-01,68,11
2015-01-01,69,11
2015-02-01,74,11
2015-03-01,75,15
2015-04-01,75,10
2015-05-01,87,12
2015-06-01,80,10
2015-07-01,80,14
2015-08-01,83,13
2015-09-01,72,11
2015-10-01,76,11
2015-11-01,73,14
2015-12-01,81,12
2016-01-01,85,15
2016-02-01,74,13
2016-03-01,73,10
2016-04-01,77,9
2016-05-01,76,12
2016-06-01,82,11
2016-07-01,88,13
2016-08-01,84,11
2016-09-01,81,12
2016-10-01,88,11
2016-11-01,87,11
2016-12-01,95,11
2017-01-01,100,9
