date,facebook sign in my account,how to change facebook privacy settings
2011-01-01,21,14
2011-02-01,20,10
2011-03-01,20,17
2011-04-01,25,9
2011-05-01,20,12
2011-06-01,25,14
2011-07-01,34,14
2011-08-01,37,16
2011-09-01,26,46
2011-10-01,27,43
2011-11-01,24,35
2011-12-01,26,31
2012-01-01,23,27
2012-02-01,22,38
2012-03-01,25,33
2012-04-01,28,41
2012-05-01,28,32
2012-06-01,26,29
2012-07-01,33,36
2012-08-01,26,52
2012-09-01,33,70
2012-10-01,29,61
2012-11-01,34,50
2012-12-01,34,48
2013-01-01,20,35
2013-02-01,33,37
2013-03-01,27,35
2013-04-01,36,31
2013-05-01,29,30
2013-06-01,35,37
2013-07-01,30,38
2013-08-01,34,30
2013-09-01,34,34
2013-10-01,31,30
2013-11-01,33,28
2013-12-01,44,30
2014-01-01,30,25
2014-02-01,35,20
2014-03-01,37,23
2014-04-01,37,29
2014-05-01,32,27
2014-06-01,32,28
2014-07-01,48,24
2014-08-01,41,34
2014-09-01,41,22
2014-10-01,39,28
2014-11-01,44,21
2014-12-01,44,21
2015-01-01,36,23
2015-02-01,31,20
2015-03-01,38,20
2015-04-01,36,23
2015-05-01,41,25
2015-06-01,34,25
2015-07-01,51,23
2015-08-01,48,26
2015-09-01,40,21
2015-10-01,44,19
2015-11-01,54,24
2015-12-01,49,22
2016-01-01,59,26
2016-02-01,60,22
2016-03-01,59,18
2016-04-01,55,17
2016-05-01,61,19
2016-06-01,56,21
2016-07-01,63,26
2016-08-01,68,25
2016-09-01,62,21
2016-10-01,83,18
2016-11-01,100,20
2016-12-01,78,21
2017-01-01,58,23
