date,facebook install now,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,8,14
2011-03-01,4,24
2011-04-01,8,13
2011-05-01,2,18
2011-06-01,7,20
2011-07-01,10,20
2011-08-01,9,24
2011-09-01,10,66
2011-10-01,4,62
2011-11-01,9,50
2011-12-01,11,44
2012-01-01,16,38
2012-02-01,9,55
2012-03-01,12,47
2012-04-01,8,59
2012-05-01,5,46
2012-06-01,14,42
2012-07-01,6,52
2012-08-01,12,75
2012-09-01,7,100
2012-10-01,12,88
2012-11-01,10,72
2012-12-01,11,70
2013-01-01,12,50
2013-02-01,11,53
2013-03-01,6,51
2013-04-01,6,45
2013-05-01,10,43
2013-06-01,7,53
2013-07-01,15,54
2013-08-01,17,44
2013-09-01,13,49
2013-10-01,12,44
2013-11-01,9,41
2013-12-01,11,44
2014-01-01,13,36
2014-02-01,16,28
2014-03-01,9,33
2014-04-01,11,42
2014-05-01,8,38
2014-06-01,16,40
2014-07-01,15,35
2014-08-01,19,49
2014-09-01,19,32
2014-10-01,13,40
2014-11-01,23,30
2014-12-01,22,30
2015-01-01,13,34
2015-02-01,14,28
2015-03-01,20,28
2015-04-01,25,33
2015-05-01,13,35
2015-06-01,11,36
2015-07-01,20,33
2015-08-01,26,37
2015-09-01,17,30
2015-10-01,19,28
2015-11-01,20,35
2015-12-01,13,31
2016-01-01,13,37
2016-02-01,16,31
2016-03-01,19,26
2016-04-01,19,25
2016-05-01,23,27
2016-06-01,22,30
2016-07-01,18,37
2016-08-01,24,36
2016-09-01,16,31
2016-10-01,35,26
2016-11-01,37,29
2016-12-01,80,30
2017-01-01,100,33
