date,computer privacy issues,how to change facebook privacy settings
2011-01-01,8,21
2011-02-01,11,14
2011-03-01,9,24
2011-04-01,4,13
2011-05-01,14,18
2011-06-01,10,20
2011-07-01,9,20
2011-08-01,9,24
2011-09-01,14,66
2011-10-01,9,62
2011-11-01,9,50
2011-12-01,7,44
2012-01-01,7,38
2012-02-01,12,55
2012-03-01,7,47
2012-04-01,11,59
2012-05-01,12,46
2012-06-01,6,42
2012-07-01,2,52
2012-08-01,6,75
2012-09-01,4,100
2012-10-01,12,88
2012-11-01,12,72
2012-12-01,6,70
2013-01-01,7,50
2013-02-01,13,53
2013-03-01,11,51
2013-04-01,8,45
2013-05-01,8,43
2013-06-01,7,53
2013-07-01,8,54
2013-08-01,7,44
2013-09-01,7,49
2013-10-01,11,44
2013-11-01,8,41
2013-12-01,11,44
2014-01-01,7,36
2014-02-01,5,28
2014-03-01,15,33
2014-04-01,8,42
2014-05-01,6,38
2014-06-01,6,40
2014-07-01,10,35
2014-08-01,7,49
2014-09-01,6,32
2014-10-01,10,40
2014-11-01,11,30
2014-12-01,6,30
2015-01-01,8,34
2015-02-01,5,28
2015-03-01,8,28
2015-04-01,11,33
2015-05-01,5,35
2015-06-01,5,36
2015-07-01,6,33
2015-08-01,5,37
2015-09-01,6,30
2015-10-01,8,28
2015-11-01,10,35
2015-12-01,7,31
2016-01-01,7,37
2016-02-01,8,31
2016-03-01,7,26
2016-04-01,8,25
2016-05-01,6,27
2016-06-01,3,30
2016-07-01,8,37
2016-08-01,4,36
2016-09-01,7,31
2016-10-01,8,26
2016-11-01,7,29
2016-12-01,5,30
2017-01-01,4,33
