date,privacy settings google,how to change facebook privacy settings
2011-01-01,5,6
2011-02-01,5,4
2011-03-01,6,7
2011-04-01,6,4
2011-05-01,5,5
2011-06-01,6,7
2011-07-01,13,6
2011-08-01,9,9
2011-09-01,13,19
2011-10-01,7,17
2011-11-01,8,15
2011-12-01,9,13
2012-01-01,17,12
2012-02-01,55,16
2012-03-01,100,13
2012-04-01,17,16
2012-05-01,11,15
2012-06-01,12,13
2012-07-01,11,12
2012-08-01,12,23
2012-09-01,13,31
2012-10-01,15,27
2012-11-01,10,20
2012-12-01,12,20
2013-01-01,13,17
2013-02-01,13,15
2013-03-01,13,15
2013-04-01,12,13
2013-05-01,12,13
2013-06-01,12,15
2013-07-01,11,16
2013-08-01,13,14
2013-09-01,11,15
2013-10-01,19,15
2013-11-01,16,12
2013-12-01,16,12
2014-01-01,17,12
2014-02-01,18,9
2014-03-01,15,10
2014-04-01,16,12
2014-05-01,15,11
2014-06-01,13,11
2014-07-01,17,10
2014-08-01,16,14
2014-09-01,18,10
2014-10-01,19,11
2014-11-01,18,9
2014-12-01,16,8
2015-01-01,13,10
2015-02-01,15,9
2015-03-01,14,9
2015-04-01,14,10
2015-05-01,17,10
2015-06-01,25,10
2015-07-01,20,11
2015-08-01,22,11
2015-09-01,19,9
2015-10-01,19,7
2015-11-01,15,10
2015-12-01,15,10
2016-01-01,16,10
2016-02-01,16,9
2016-03-01,16,8
2016-04-01,13,8
2016-05-01,12,8
2016-06-01,41,9
2016-07-01,23,11
2016-08-01,18,10
2016-09-01,18,9
2016-10-01,19,8
2016-11-01,16,8
2016-12-01,14,8
2017-01-01,17,9
