date,google account recovery,how to change facebook privacy settings
2011-01-01,4,1
2011-02-01,4,1
2011-03-01,5,1
2011-04-01,4,1
2011-05-01,4,1
2011-06-01,4,1
2011-07-01,6,1
2011-08-01,6,2
2011-09-01,6,4
2011-10-01,5,3
2011-11-01,4,3
2011-12-01,8,2
2012-01-01,7,2
2012-02-01,6,3
2012-03-01,6,3
2012-04-01,8,3
2012-05-01,10,3
2012-06-01,12,3
2012-07-01,13,2
2012-08-01,14,5
2012-09-01,21,6
2012-10-01,19,6
2012-11-01,25,4
2012-12-01,31,4
2013-01-01,26,4
2013-02-01,29,3
2013-03-01,31,3
2013-04-01,31,3
2013-05-01,36,2
2013-06-01,36,3
2013-07-01,37,3
2013-08-01,37,3
2013-09-01,40,3
2013-10-01,43,3
2013-11-01,47,2
2013-12-01,61,2
2014-01-01,54,3
2014-02-01,52,2
2014-03-01,51,2
2014-04-01,50,2
2014-05-01,55,2
2014-06-01,58,2
2014-07-01,60,2
2014-08-01,71,3
2014-09-01,70,2
2014-10-01,70,2
2014-11-01,79,2
2014-12-01,91,2
2015-01-01,80,2
2015-02-01,84,2
2015-03-01,84,2
2015-04-01,86,2
2015-05-01,88,2
2015-06-01,100,2
2015-07-01,98,2
2015-08-01,90,2
2015-09-01,74,2
2015-10-01,76,1
2015-11-01,72,2
2015-12-01,77,2
2016-01-01,73,2
2016-02-01,71,2
2016-03-01,72,2
2016-04-01,72,2
2016-05-01,70,2
2016-06-01,72,2
2016-07-01,74,2
2016-08-01,86,2
2016-09-01,83,2
2016-10-01,82,2
2016-11-01,78,2
2016-12-01,80,1
2017-01-01,77,2
