date,top 6 friends on facebook,how to change facebook privacy settings
2011-01-01,2,21
2011-02-01,0,14
2011-03-01,0,24
2011-04-01,0,13
2011-05-01,0,18
2011-06-01,0,20
2011-07-01,0,20
2011-08-01,2,24
2011-09-01,5,66
2011-10-01,3,62
2011-11-01,3,50
2011-12-01,3,44
2012-01-01,5,38
2012-02-01,5,55
2012-03-01,5,47
2012-04-01,5,59
2012-05-01,6,46
2012-06-01,10,42
2012-07-01,9,52
2012-08-01,9,75
2012-09-01,8,100
2012-10-01,8,88
2012-11-01,5,72
2012-12-01,16,70
2013-01-01,11,50
2013-02-01,8,53
2013-03-01,11,51
2013-04-01,8,45
2013-05-01,5,43
2013-06-01,4,53
2013-07-01,2,54
2013-08-01,6,44
2013-09-01,4,49
2013-10-01,3,44
2013-11-01,3,41
2013-12-01,4,44
2014-01-01,5,36
2014-02-01,4,28
2014-03-01,6,33
2014-04-01,4,42
2014-05-01,7,38
2014-06-01,6,40
2014-07-01,4,35
2014-08-01,5,49
2014-09-01,5,32
2014-10-01,8,40
2014-11-01,6,30
2014-12-01,6,30
2015-01-01,8,34
2015-02-01,3,28
2015-03-01,2,28
2015-04-01,5,33
2015-05-01,2,35
2015-06-01,5,36
2015-07-01,7,33
2015-08-01,4,37
2015-09-01,3,30
2015-10-01,4,28
2015-11-01,4,35
2015-12-01,3,31
2016-01-01,3,37
2016-02-01,5,31
2016-03-01,9,26
2016-04-01,8,25
2016-05-01,5,27
2016-06-01,10,30
2016-07-01,11,37
2016-08-01,12,36
2016-09-01,7,31
2016-10-01,10,26
2016-11-01,18,29
2016-12-01,9,30
2017-01-01,13,33
