date,how to hide friends on facebook iphone,how to change facebook privacy settings
2011-01-01,3,21
2011-02-01,9,12
2011-03-01,6,22
2011-04-01,5,14
2011-05-01,7,17
2011-06-01,6,22
2011-07-01,6,20
2011-08-01,8,29
2011-09-01,13,60
2011-10-01,10,55
2011-11-01,12,48
2011-12-01,8,42
2012-01-01,11,39
2012-02-01,11,51
2012-03-01,10,41
2012-04-01,5,51
2012-05-01,8,48
2012-06-01,6,44
2012-07-01,4,41
2012-08-01,4,75
2012-09-01,6,100
2012-10-01,11,90
2012-11-01,4,66
2012-12-01,9,64
2013-01-01,10,54
2013-02-01,4,50
2013-03-01,7,49
2013-04-01,10,42
2013-05-01,5,44
2013-06-01,10,50
2013-07-01,7,51
2013-08-01,6,45
2013-09-01,11,47
2013-10-01,6,48
2013-11-01,7,38
2013-12-01,6,39
2014-01-01,7,40
2014-02-01,8,28
2014-03-01,8,33
2014-04-01,8,38
2014-05-01,7,36
2014-06-01,9,37
2014-07-01,11,32
2014-08-01,10,47
2014-09-01,8,32
2014-10-01,6,36
2014-11-01,5,28
2014-12-01,7,27
2015-01-01,9,34
2015-02-01,5,29
2015-03-01,6,29
2015-04-01,7,32
2015-05-01,7,33
2015-06-01,6,34
2015-07-01,10,34
2015-08-01,7,36
2015-09-01,8,29
2015-10-01,10,24
2015-11-01,8,31
2015-12-01,8,32
2016-01-01,14,33
2016-02-01,9,29
2016-03-01,13,27
2016-04-01,10,25
2016-05-01,13,26
2016-06-01,16,30
2016-07-01,16,35
2016-08-01,15,33
2016-09-01,13,28
2016-10-01,14,28
2016-11-01,17,26
2016-12-01,20,25
2017-01-01,21,29
