date,who can see my profile on facebook,how to change facebook privacy settings
2011-01-01,42,21
2011-02-01,30,12
2011-03-01,34,22
2011-04-01,25,14
2011-05-01,34,17
2011-06-01,37,22
2011-07-01,21,20
2011-08-01,35,29
2011-09-01,38,60
2011-10-01,33,55
2011-11-01,24,48
2011-12-01,32,42
2012-01-01,31,39
2012-02-01,38,51
2012-03-01,19,41
2012-04-01,29,51
2012-05-01,24,48
2012-06-01,26,44
2012-07-01,28,41
2012-08-01,38,75
2012-09-01,26,100
2012-10-01,33,90
2012-11-01,27,66
2012-12-01,33,64
2013-01-01,31,54
2013-02-01,27,50
2013-03-01,26,49
2013-04-01,26,42
2013-05-01,27,44
2013-06-01,32,50
2013-07-01,25,51
2013-08-01,27,45
2013-09-01,25,47
2013-10-01,23,48
2013-11-01,20,38
2013-12-01,26,39
2014-01-01,24,40
2014-02-01,23,28
2014-03-01,17,33
2014-04-01,23,38
2014-05-01,22,36
2014-06-01,27,37
2014-07-01,24,32
2014-08-01,27,47
2014-09-01,27,32
2014-10-01,24,36
2014-11-01,19,28
2014-12-01,22,27
2015-01-01,27,34
2015-02-01,21,29
2015-03-01,24,29
2015-04-01,24,32
2015-05-01,30,33
2015-06-01,20,34
2015-07-01,26,34
2015-08-01,23,36
2015-09-01,25,29
2015-10-01,25,24
2015-11-01,25,31
2015-12-01,17,32
2016-01-01,26,33
2016-02-01,25,29
2016-03-01,23,27
2016-04-01,26,25
2016-05-01,26,26
2016-06-01,23,30
2016-07-01,28,35
2016-08-01,27,33
2016-09-01,25,28
2016-10-01,23,28
2016-11-01,25,26
2016-12-01,21,25
2017-01-01,25,29
