date,my facebook friends list hide,how to change facebook privacy settings
2011-01-01,37,18
2011-02-01,59,13
2011-03-01,67,22
2011-04-01,63,11
2011-05-01,64,16
2011-06-01,74,18
2011-07-01,83,18
2011-08-01,100,21
2011-09-01,86,58
2011-10-01,77,55
2011-11-01,61,44
2011-12-01,66,39
2012-01-01,49,34
2012-02-01,44,48
2012-03-01,55,41
2012-04-01,49,52
2012-05-01,51,41
2012-06-01,66,37
2012-07-01,47,46
2012-08-01,71,66
2012-09-01,59,88
2012-10-01,54,78
2012-11-01,52,64
2012-12-01,51,61
2013-01-01,74,44
2013-02-01,67,46
2013-03-01,50,45
2013-04-01,40,40
2013-05-01,47,38
2013-06-01,60,47
2013-07-01,36,48
2013-08-01,53,39
2013-09-01,51,43
2013-10-01,50,38
2013-11-01,46,36
2013-12-01,48,38
2014-01-01,57,32
2014-02-01,65,25
2014-03-01,54,29
2014-04-01,53,37
2014-05-01,40,34
2014-06-01,63,36
2014-07-01,67,31
2014-08-01,70,43
2014-09-01,44,28
2014-10-01,34,35
2014-11-01,63,26
2014-12-01,66,27
2015-01-01,61,30
2015-02-01,55,25
2015-03-01,52,25
2015-04-01,42,30
2015-05-01,57,31
2015-06-01,66,31
2015-07-01,54,29
2015-08-01,55,32
2015-09-01,63,27
2015-10-01,81,25
2015-11-01,58,31
2015-12-01,53,28
2016-01-01,63,33
2016-02-01,65,28
2016-03-01,60,23
2016-04-01,81,22
2016-05-01,61,24
2016-06-01,70,26
2016-07-01,70,33
2016-08-01,78,31
2016-09-01,75,27
2016-10-01,63,23
2016-11-01,56,25
2016-12-01,83,26
2017-01-01,76,29
