date,Changing facebook privacy,how to change facebook privacy settings
2011-01-01,5,23
2011-02-01,8,18
2011-03-01,5,19
2011-04-01,5,12
2011-05-01,6,13
2011-06-01,7,21
2011-07-01,2,19
2011-08-01,5,26
2011-09-01,14,65
2011-10-01,11,58
2011-11-01,7,56
2011-12-01,8,50
2012-01-01,16,35
2012-02-01,10,48
2012-03-01,9,47
2012-04-01,10,41
2012-05-01,6,44
2012-06-01,6,43
2012-07-01,7,41
2012-08-01,7,58
2012-09-01,11,100
2012-10-01,9,92
2012-11-01,9,73
2012-12-01,13,65
2013-01-01,9,58
2013-02-01,12,58
2013-03-01,15,52
2013-04-01,12,42
2013-05-01,10,43
2013-06-01,9,48
2013-07-01,12,55
2013-08-01,9,52
2013-09-01,15,47
2013-10-01,25,44
2013-11-01,9,36
2013-12-01,7,38
2014-01-01,10,46
2014-02-01,7,30
2014-03-01,8,32
2014-04-01,6,41
2014-05-01,8,36
2014-06-01,7,39
2014-07-01,4,29
2014-08-01,6,47
2014-09-01,5,34
2014-10-01,10,32
2014-11-01,7,31
2014-12-01,9,29
2015-01-01,25,28
2015-02-01,5,28
2015-03-01,4,39
2015-04-01,4,27
2015-05-01,5,30
2015-06-01,5,27
2015-07-01,7,36
2015-08-01,5,33
2015-09-01,53,27
2015-10-01,6,27
2015-11-01,5,36
2015-12-01,7,30
2016-01-01,4,37
2016-02-01,4,33
2016-03-01,6,26
2016-04-01,4,22
2016-05-01,3,30
2016-06-01,31,27
2016-07-01,27,33
2016-08-01,7,27
2016-09-01,7,31
2016-10-01,44,28
2016-11-01,8,28
2016-12-01,6,27
2017-01-01,8,24
