date,facebook settings language,how to change facebook privacy settings
2011-01-01,5,12
2011-02-01,5,7
2011-03-01,5,12
2011-04-01,5,8
2011-05-01,6,9
2011-06-01,6,12
2011-07-01,3,11
2011-08-01,8,16
2011-09-01,9,34
2011-10-01,7,31
2011-11-01,4,27
2011-12-01,8,23
2012-01-01,5,22
2012-02-01,7,29
2012-03-01,7,23
2012-04-01,8,28
2012-05-01,7,27
2012-06-01,7,24
2012-07-01,9,23
2012-08-01,9,42
2012-09-01,10,56
2012-10-01,7,50
2012-11-01,4,37
2012-12-01,9,36
2013-01-01,7,30
2013-02-01,6,28
2013-03-01,9,28
2013-04-01,8,23
2013-05-01,10,24
2013-06-01,8,28
2013-07-01,8,28
2013-08-01,8,25
2013-09-01,10,26
2013-10-01,7,26
2013-11-01,6,21
2013-12-01,9,22
2014-01-01,10,22
2014-02-01,10,16
2014-03-01,7,19
2014-04-01,7,21
2014-05-01,6,20
2014-06-01,7,21
2014-07-01,11,18
2014-08-01,10,26
2014-09-01,12,18
2014-10-01,10,20
2014-11-01,13,16
2014-12-01,11,15
2015-01-01,12,19
2015-02-01,9,16
2015-03-01,10,16
2015-04-01,12,18
2015-05-01,14,19
2015-06-01,12,19
2015-07-01,16,19
2015-08-01,17,20
2015-09-01,19,16
2015-10-01,17,14
2015-11-01,12,17
2015-12-01,14,18
2016-01-01,13,19
2016-02-01,13,16
2016-03-01,40,15
2016-04-01,100,14
2016-05-01,56,15
2016-06-01,30,17
2016-07-01,41,19
2016-08-01,18,18
2016-09-01,14,16
2016-10-01,13,15
2016-11-01,14,15
2016-12-01,13,14
2017-01-01,11,16
