date,where is my profile on facebook,how to change facebook privacy settings
2011-01-01,8,21
2011-02-01,12,14
2011-03-01,11,24
2011-04-01,9,13
2011-05-01,4,18
2011-06-01,8,20
2011-07-01,7,20
2011-08-01,5,24
2011-09-01,10,66
2011-10-01,10,62
2011-11-01,3,50
2011-12-01,9,44
2012-01-01,8,38
2012-02-01,7,55
2012-03-01,13,47
2012-04-01,9,59
2012-05-01,13,46
2012-06-01,8,42
2012-07-01,10,52
2012-08-01,17,75
2012-09-01,11,100
2012-10-01,12,88
2012-11-01,8,72
2012-12-01,5,70
2013-01-01,8,50
2013-02-01,8,53
2013-03-01,3,51
2013-04-01,10,45
2013-05-01,7,43
2013-06-01,10,53
2013-07-01,11,54
2013-08-01,6,44
2013-09-01,4,49
2013-10-01,5,44
2013-11-01,5,41
2013-12-01,4,44
2014-01-01,9,36
2014-02-01,5,28
2014-03-01,2,33
2014-04-01,7,42
2014-05-01,5,38
2014-06-01,6,40
2014-07-01,10,35
2014-08-01,14,49
2014-09-01,7,32
2014-10-01,7,40
2014-11-01,8,30
2014-12-01,9,30
2015-01-01,7,34
2015-02-01,6,28
2015-03-01,6,28
2015-04-01,7,33
2015-05-01,5,35
2015-06-01,6,36
2015-07-01,8,33
2015-08-01,5,37
2015-09-01,6,30
2015-10-01,6,28
2015-11-01,13,35
2015-12-01,11,31
2016-01-01,5,37
2016-02-01,6,31
2016-03-01,8,26
2016-04-01,7,25
2016-05-01,7,27
2016-06-01,9,30
2016-07-01,7,37
2016-08-01,6,36
2016-09-01,6,31
2016-10-01,10,26
2016-11-01,7,29
2016-12-01,9,30
2017-01-01,10,33
