date,what is computer privacy,how to change facebook privacy settings
2011-01-01,25,21
2011-02-01,30,14
2011-03-01,16,24
2011-04-01,16,13
2011-05-01,10,18
2011-06-01,15,20
2011-07-01,15,20
2011-08-01,14,24
2011-09-01,32,66
2011-10-01,13,62
2011-11-01,26,50
2011-12-01,19,44
2012-01-01,20,38
2012-02-01,30,55
2012-03-01,26,47
2012-04-01,20,59
2012-05-01,30,46
2012-06-01,27,42
2012-07-01,14,52
2012-08-01,25,75
2012-09-01,27,100
2012-10-01,30,88
2012-11-01,27,72
2012-12-01,33,70
2013-01-01,25,50
2013-02-01,25,53
2013-03-01,34,51
2013-04-01,29,45
2013-05-01,26,43
2013-06-01,34,53
2013-07-01,28,54
2013-08-01,23,44
2013-09-01,32,49
2013-10-01,38,44
2013-11-01,27,41
2013-12-01,33,44
2014-01-01,20,36
2014-02-01,31,28
2014-03-01,25,33
2014-04-01,28,42
2014-05-01,32,38
2014-06-01,24,40
2014-07-01,31,35
2014-08-01,28,49
2014-09-01,40,32
2014-10-01,37,40
2014-11-01,27,30
2014-12-01,24,30
2015-01-01,20,34
2015-02-01,20,28
2015-03-01,19,28
2015-04-01,23,33
2015-05-01,20,35
2015-06-01,18,36
2015-07-01,11,33
2015-08-01,16,37
2015-09-01,22,30
2015-10-01,17,28
2015-11-01,24,35
2015-12-01,22,31
2016-01-01,16,37
2016-02-01,25,31
2016-03-01,22,26
2016-04-01,26,25
2016-05-01,17,27
2016-06-01,15,30
2016-07-01,12,37
2016-08-01,17,36
2016-09-01,23,31
2016-10-01,23,26
2016-11-01,22,29
2016-12-01,16,30
2017-01-01,19,33
