date,facebook friends privacy settings,how to change facebook privacy settings
2011-01-01,27,21
2011-02-01,31,12
2011-03-01,18,22
2011-04-01,28,14
2011-05-01,22,17
2011-06-01,34,22
2011-07-01,31,20
2011-08-01,35,29
2011-09-01,57,60
2011-10-01,45,55
2011-11-01,37,48
2011-12-01,31,42
2012-01-01,34,39
2012-02-01,27,51
2012-03-01,24,41
2012-04-01,28,51
2012-05-01,29,48
2012-06-01,33,44
2012-07-01,25,41
2012-08-01,41,75
2012-09-01,40,100
2012-10-01,34,90
2012-11-01,39,66
2012-12-01,45,64
2013-01-01,63,54
2013-02-01,52,50
2013-03-01,63,49
2013-04-01,44,42
2013-05-01,49,44
2013-06-01,45,50
2013-07-01,51,51
2013-08-01,40,45
2013-09-01,38,47
2013-10-01,32,48
2013-11-01,35,38
2013-12-01,44,39
2014-01-01,34,40
2014-02-01,33,28
2014-03-01,33,33
2014-04-01,29,38
2014-05-01,31,36
2014-06-01,25,37
2014-07-01,32,32
2014-08-01,29,47
2014-09-01,37,32
2014-10-01,36,36
2014-11-01,29,28
2014-12-01,27,27
2015-01-01,27,34
2015-02-01,30,29
2015-03-01,25,29
2015-04-01,22,32
2015-05-01,26,33
2015-06-01,30,34
2015-07-01,27,34
2015-08-01,26,36
2015-09-01,22,29
2015-10-01,28,24
2015-11-01,24,31
2015-12-01,15,32
2016-01-01,19,33
2016-02-01,22,29
2016-03-01,19,27
2016-04-01,21,25
2016-05-01,21,26
2016-06-01,21,30
2016-07-01,23,35
2016-08-01,19,33
2016-09-01,20,28
2016-10-01,20,28
2016-11-01,22,26
2016-12-01,25,25
2017-01-01,20,29
