date,change Facebook privacy settings,how to change facebook privacy settings
2011-01-01,28,15
2011-02-01,27,16
2011-03-01,28,16
2011-04-01,16,6
2011-05-01,27,11
2011-06-01,26,18
2011-07-01,22,10
2011-08-01,35,17
2011-09-01,71,50
2011-10-01,68,40
2011-11-01,59,42
2011-12-01,55,36
2012-01-01,42,30
2012-02-01,53,35
2012-03-01,48,33
2012-04-01,49,31
2012-05-01,51,31
2012-06-01,51,36
2012-07-01,46,28
2012-08-01,80,47
2012-09-01,96,70
2012-10-01,100,69
2012-11-01,73,45
2012-12-01,71,46
2013-01-01,61,40
2013-02-01,67,40
2013-03-01,64,32
2013-04-01,55,31
2013-05-01,53,35
2013-06-01,49,38
2013-07-01,61,35
2013-08-01,54,37
2013-09-01,54,33
2013-10-01,64,33
2013-11-01,50,32
2013-12-01,52,28
2014-01-01,48,32
2014-02-01,35,25
2014-03-01,39,23
2014-04-01,44,27
2014-05-01,41,24
2014-06-01,46,26
2014-07-01,44,27
2014-08-01,50,32
2014-09-01,40,25
2014-10-01,41,27
2014-11-01,39,21
2014-12-01,39,22
2015-01-01,56,29
2015-02-01,32,24
2015-03-01,39,24
2015-04-01,35,23
2015-05-01,40,26
2015-06-01,43,20
2015-07-01,35,27
2015-08-01,38,25
2015-09-01,48,23
2015-10-01,31,21
2015-11-01,31,27
2015-12-01,37,21
2016-01-01,35,27
2016-02-01,33,25
2016-03-01,33,17
2016-04-01,30,18
2016-05-01,30,23
2016-06-01,45,24
2016-07-01,35,21
2016-08-01,35,22
2016-09-01,36,23
2016-10-01,36,21
2016-11-01,31,24
2016-12-01,33,18
2017-01-01,35,20
