date,facebook settings page,how to change facebook privacy settings
2011-01-01,46,21
2011-02-01,64,14
2011-03-01,61,24
2011-04-01,61,15
2011-05-01,59,13
2011-06-01,67,23
2011-07-01,72,20
2011-08-01,73,32
2011-09-01,71,63
2011-10-01,58,47
2011-11-01,76,41
2011-12-01,74,39
2012-01-01,71,37
2012-02-01,68,52
2012-03-01,80,42
2012-04-01,78,44
2012-05-01,60,51
2012-06-01,68,43
2012-07-01,60,30
2012-08-01,54,81
2012-09-01,59,100
2012-10-01,48,95
2012-11-01,60,65
2012-12-01,75,66
2013-01-01,86,59
2013-02-01,81,49
2013-03-01,63,53
2013-04-01,82,41
2013-05-01,88,40
2013-06-01,82,49
2013-07-01,87,48
2013-08-01,83,49
2013-09-01,93,47
2013-10-01,98,48
2013-11-01,58,35
2013-12-01,49,37
2014-01-01,54,43
2014-02-01,44,27
2014-03-01,50,34
2014-04-01,51,36
2014-05-01,42,35
2014-06-01,59,36
2014-07-01,51,29
2014-08-01,55,45
2014-09-01,39,31
2014-10-01,47,37
2014-11-01,49,27
2014-12-01,52,25
2015-01-01,53,34
2015-02-01,41,32
2015-03-01,50,31
2015-04-01,54,34
2015-05-01,45,32
2015-06-01,49,31
2015-07-01,41,35
2015-08-01,51,39
2015-09-01,39,31
2015-10-01,46,22
2015-11-01,43,28
2015-12-01,48,33
2016-01-01,49,32
2016-02-01,56,25
2016-03-01,51,26
2016-04-01,65,25
2016-05-01,49,27
2016-06-01,64,26
2016-07-01,49,38
2016-08-01,59,34
2016-09-01,55,28
2016-10-01,56,30
2016-11-01,55,25
2016-12-01,47,24
2017-01-01,67,31
