date,old facebook sign in,how to change facebook privacy settings
2011-01-01,30,15
2011-02-01,26,9
2011-03-01,16,16
2011-04-01,24,10
2011-05-01,19,12
2011-06-01,29,16
2011-07-01,24,15
2011-08-01,30,21
2011-09-01,33,44
2011-10-01,23,40
2011-11-01,22,35
2011-12-01,26,30
2012-01-01,20,28
2012-02-01,16,37
2012-03-01,30,30
2012-04-01,33,37
2012-05-01,32,35
2012-06-01,21,32
2012-07-01,18,29
2012-08-01,22,54
2012-09-01,24,72
2012-10-01,30,65
2012-11-01,29,48
2012-12-01,25,46
2013-01-01,24,39
2013-02-01,32,36
2013-03-01,32,36
2013-04-01,29,30
2013-05-01,23,31
2013-06-01,27,36
2013-07-01,27,37
2013-08-01,31,32
2013-09-01,30,34
2013-10-01,25,34
2013-11-01,29,27
2013-12-01,35,28
2014-01-01,27,29
2014-02-01,27,20
2014-03-01,24,24
2014-04-01,32,27
2014-05-01,30,26
2014-06-01,18,27
2014-07-01,21,23
2014-08-01,24,34
2014-09-01,24,23
2014-10-01,19,26
2014-11-01,37,20
2014-12-01,25,19
2015-01-01,25,24
2015-02-01,23,21
2015-03-01,21,21
2015-04-01,20,23
2015-05-01,19,24
2015-06-01,31,25
2015-07-01,23,25
2015-08-01,20,26
2015-09-01,26,21
2015-10-01,24,17
2015-11-01,37,23
2015-12-01,34,23
2016-01-01,38,24
2016-02-01,34,21
2016-03-01,41,19
2016-04-01,96,18
2016-05-01,89,19
2016-06-01,65,22
2016-07-01,68,25
2016-08-01,59,24
2016-09-01,100,21
2016-10-01,60,20
2016-11-01,79,19
2016-12-01,64,18
2017-01-01,33,21
