date,facebook search by city,how to change facebook privacy settings
2011-01-01,47,16
2011-02-01,50,9
2011-03-01,47,16
2011-04-01,51,10
2011-05-01,48,13
2011-06-01,55,16
2011-07-01,47,15
2011-08-01,50,22
2011-09-01,47,45
2011-10-01,37,41
2011-11-01,53,36
2011-12-01,40,32
2012-01-01,41,29
2012-02-01,33,39
2012-03-01,35,31
2012-04-01,36,38
2012-05-01,43,36
2012-06-01,36,33
2012-07-01,38,31
2012-08-01,46,56
2012-09-01,33,75
2012-10-01,31,67
2012-11-01,34,50
2012-12-01,42,48
2013-01-01,49,41
2013-02-01,46,37
2013-03-01,57,37
2013-04-01,43,31
2013-05-01,33,33
2013-06-01,35,37
2013-07-01,48,38
2013-08-01,39,34
2013-09-01,36,36
2013-10-01,24,36
2013-11-01,34,28
2013-12-01,34,30
2014-01-01,29,30
2014-02-01,28,21
2014-03-01,33,25
2014-04-01,32,29
2014-05-01,43,27
2014-06-01,52,28
2014-07-01,44,24
2014-08-01,42,35
2014-09-01,29,24
2014-10-01,30,27
2014-11-01,38,21
2014-12-01,60,20
2015-01-01,55,25
2015-02-01,46,22
2015-03-01,47,22
2015-04-01,64,24
2015-05-01,78,25
2015-06-01,83,26
2015-07-01,85,26
2015-08-01,100,27
2015-09-01,88,22
2015-10-01,90,18
2015-11-01,77,23
2015-12-01,82,24
2016-01-01,89,25
2016-02-01,76,22
2016-03-01,86,20
2016-04-01,97,19
2016-05-01,81,20
2016-06-01,69,23
2016-07-01,63,26
2016-08-01,54,25
2016-09-01,46,21
2016-10-01,31,21
2016-11-01,33,20
2016-12-01,31,19
2017-01-01,34,22
