date,personal privacy,how to change facebook privacy settings
2011-01-01,91,8
2011-02-01,89,5
2011-03-01,100,9
2011-04-01,96,6
2011-05-01,94,7
2011-06-01,83,9
2011-07-01,85,8
2011-08-01,73,12
2011-09-01,89,24
2011-10-01,81,22
2011-11-01,100,20
2011-12-01,72,17
2012-01-01,77,16
2012-02-01,93,21
2012-03-01,92,17
2012-04-01,90,21
2012-05-01,95,20
2012-06-01,91,18
2012-07-01,70,16
2012-08-01,71,30
2012-09-01,85,40
2012-10-01,92,36
2012-11-01,90,27
2012-12-01,65,26
2013-01-01,72,22
2013-02-01,82,20
2013-03-01,85,20
2013-04-01,97,17
2013-05-01,90,18
2013-06-01,78,20
2013-07-01,70,20
2013-08-01,76,18
2013-09-01,82,19
2013-10-01,80,19
2013-11-01,95,15
2013-12-01,72,16
2014-01-01,73,16
2014-02-01,89,11
2014-03-01,93,13
2014-04-01,90,15
2014-05-01,90,15
2014-06-01,84,15
2014-07-01,80,13
2014-08-01,71,19
2014-09-01,87,13
2014-10-01,84,15
2014-11-01,84,11
2014-12-01,63,11
2015-01-01,70,14
2015-02-01,77,12
2015-03-01,79,12
2015-04-01,83,13
2015-05-01,73,13
2015-06-01,70,14
2015-07-01,62,14
2015-08-01,64,15
2015-09-01,82,12
2015-10-01,84,10
2015-11-01,84,13
2015-12-01,64,13
2016-01-01,71,13
2016-02-01,79,12
2016-03-01,82,11
2016-04-01,81,10
2016-05-01,73,11
2016-06-01,64,12
2016-07-01,61,14
2016-08-01,64,13
2016-09-01,74,11
2016-10-01,89,11
2016-11-01,88,11
2016-12-01,66,10
2017-01-01,74,12
